,PA,BB,Hits,Single,Double,Triple,HR,HBP,IBB
Phillips,105,2,26,17,7,0,2,2,0
Trout,507,94,123,62,25,3,33,7,15
Upton,115,17,24,10,7,0,7,0,1
Pujols,636,37,143,103,17,0,23,0,5
Calhoun,654,71,139,95,23,2,19,8,4
Simmons,647,47,164,110,38,2,14,3,0
Valbuena,401,48,69,32,15,0,22,1,1
Cron,373,22,84,53,14,1,16,7,0
Maldonado,471,15,95,61,19,1,14,18,1
