#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,Adrian Peterson,RB,MIN,1.3,1.1,1.01,2.1,512
2,1.03,Doug Martin,RB,TB,2.9,2.1,1.01,4.05,418
3,1.05,Jamaal Charles,RB,KC,4.7,1.8,1.01,1.1,322
4,1.05,Arian Foster,RB,HOU,5.1,2.3,1.01,1.11,317
5,1.05,C.J. Spiller,RB,None,5.3,4,1.02,7.04,409
6,1.06,Marshawn Lynch,RB,SEA,5.6,2.2,1.02,2.04,433
7,1.06,LeSean McCoy,RB,PHI,5.9,2,1.01,1.12,406
8,1.08,Trent Richardson,RB,IND,7.7,2.2,1.02,2.11,460
9,1.08,Ray Rice,RB,BAL,8.2,2.2,1.02,2.03,448
10,1.09,Calvin Johnson,WR,DET,9.1,2.9,1.01,2.04,401
11,1.11,Alfred Morris,RB,WAS,11.1,1.7,1.05,2.04,427
12,1.12,Matt Forte,RB,CHI,12.1,2.4,1.01,2.07,409
13,2.02,Dez Bryant,WR,DAL,14.4,2.7,1.05,3.01,303
14,2.03,Steven Jackson,RB,ATL,14.8,2.7,1.03,2.11,330
15,2.03,Chris Johnson,RB,NYJ,15.5,2.6,1.04,2.12,318
16,2.04,David Wilson,RB,NYG,16.4,2.9,1.07,3.06,387
17,2.06,Stevan Ridley,RB,NE,17.5,2.9,1.09,3.04,380
18,2.06,A.J. Green,WR,CIN,17.8,3,1.08,3.02,407
19,2.07,Maurice Jones-Drew,RB,LV,18.7,3.2,1.1,3.04,425
20,2.07,Drew Brees,QB,NO,19.1,6.8,1.01,3.1,340
21,2.08,Reggie Bush,RB,DET,19.9,3.3,1.11,3.08,455
22,2.1,Julio Jones,WR,ATL,21.8,3.1,1.1,3.07,436
23,2.11,Jimmy Graham,TE,NO,22.6,6.3,1.02,10.01,396
24,2.12,Brandon Marshall,WR,CHI,23.7,3.4,2.01,3.09,484
25,2.12,Frank Gore,RB,SF,24.4,3.6,2.02,3.12,427
26,3.01,Aaron Rodgers,QB,GB,24.7,6.4,1.01,4.08,375
27,3.02,Demaryius Thomas,WR,DEN,26.1,5.2,2.02,10.07,460
28,3.03,DeMarco Murray,RB,DAL,27.4,4.5,2.02,4.08,433
29,3.05,Larry Fitzgerald,WR,ARI,28.9,3.2,2.05,4.05,387
30,3.05,Eddie Lacy,RB,GB,29.4,4.3,2.03,4.07,442
31,3.07,Andre Johnson,WR,HOU,31.3,3.6,2.04,4.09,314
32,3.08,Randall Cobb,WR,GB,32,4,1.02,4.08,351
33,3.08,Peyton Manning,QB,DEN,32.4,6.1,1.02,5.02,332
34,3.09,Lamar Miller,RB,MIA,32.7,5.3,2.06,7.03,380
35,3.1,Darren Sproles,RB,PHI,33.5,5.6,2.08,5.02,367
36,3.11,Roddy White,WR,ATL,35,3.7,2.05,4.1,392
37,4.01,Victor Cruz,WR,NYG,36.5,4,1.1,5.01,385
38,4.02,Vincent Jackson,WR,TB,38.4,3.8,3.02,4.11,323
39,4.04,Darren McFadden,RB,LV,39.8,6.3,2.01,5.07,330
40,4.05,Danny Amendola,WR,NE,40.6,4.4,3.03,6.01,317
41,4.06,Giovani Bernard,RB,CIN,41.8,5.5,2.06,5.11,381
42,4.06,Dwayne Bowe,WR,KC,42.1,4.6,2.08,6.03,342
43,4.07,Tom Brady,QB,NE,42.5,7.8,1.08,6.07,301
44,4.08,Marques Colston,WR,NO,43.8,4.1,3.04,5.12,312
45,4.08,Rob Gronkowski,TE,NE,44.4,6.9,2.11,10.02,369
46,4.09,Daryl Richardson,RB,LAR,45.2,6.2,3.01,6.04,401
47,4.1,Reggie Wayne,WR,IND,46.1,4.4,3.12,5.12,364
48,4.11,Wes Welker,WR,DEN,46.6,5.3,2.12,6.04,387
49,5.01,Ryan Mathews,RB,LAC,48.7,7,2.11,6.08,403
50,5.01,Pierre Garcon,WR,WAS,48.8,4.7,3.08,6.05,361
51,5.02,Cam Newton,QB,CAR,50,7.9,1.02,7.04,313
52,5.03,Jordy Nelson,WR,GB,51,5,4.01,6.09,338
53,5.05,Montee Ball,RB,DEN,53.1,7.9,2.1,7.01,305
54,5.06,Torrey Smith,WR,BAL,53.8,5.6,3.12,7.02,342
55,5.06,Matt Ryan,QB,ATL,54.5,7.9,2.02,7.07,303
56,5.07,Ahmad Bradshaw,RB,IND,55.2,7.5,2.12,8.01,357
57,5.08,Hakeem Nicks,WR,IND,55.6,5.9,4.05,8.04,349
58,5.08,Vernon Davis,TE,SF,56.2,7.9,3.04,7.04,206
59,5.09,Antonio Brown,WR,PIT,56.8,5.9,2.12,7.04,345
60,5.1,DeSean Jackson,WR,WAS,58.5,6.5,3.1,7.05,325
61,5.11,Jason Witten,TE,DAL,58.6,7.4,4.01,7.05,249
62,5.12,DeAngelo Williams,RB,CAR,60.2,9.1,2.11,8.05,324
63,6.01,Colin Kaepernick,QB,SF,60.9,11.4,2.03,9.04,315
64,6.03,Eric Decker,WR,NYJ,62.9,7.5,3.09,8.02,364
65,6.03,T.Y. Hilton,WR,IND,63.3,6.7,3.12,8.11,312
66,6.06,Shane Vereen,RB,NE,65.8,7.9,4.05,8.09,327
67,6.06,Tony Gonzalez,TE,ATL,66.2,8.4,3.04,7.11,246
68,6.07,Matthew Stafford,QB,DET,66.7,8.6,3.02,9.03,358
69,6.08,Mike Wallace,WR,MIA,67.6,6.8,4.03,8.1,330
70,6.08,Chris Ivory,RB,NYJ,68.4,9.3,4.02,9.05,307
71,6.09,Steve Smith,WR,BAL,68.8,6.6,4.11,8.04,341
72,6.11,Andrew Luck,QB,IND,71.4,10.9,2.03,9.04,374
73,6.12,James Jones,WR,LV,71.5,7.7,4.11,8.09,320
74,6.12,Rashard Mendenhall,RB,ARI,72.2,8.8,3.11,9.01,368
75,7.03,Robert Griffin III,QB,WAS,74.8,10.8,3.05,9.06,373
76,7.03,Kenbrell Thompkins,WR,NE,75,8.3,4.03,9.03,295
77,7.04,Jermichael Finley,TE,GB,75.7,7.1,5.07,9.02,227
78,7.05,Ben Tate,RB,CLE,77.1,8.3,3.1,9.02,320
79,7.05,Cecil Shorts,WR,JAX,77.5,8,5.02,10.01,290
80,7.07,Miles Austin,WR,FA,78.7,8.5,4.02,9.06,322
81,7.07,LeVeon Bell,RB,PIT,78.8,10.5,3.07,10.03,404
82,7.08,Tony Romo,QB,DAL,79.7,10.2,4.07,10.01,338
83,7.11,Tavon Austin,WR,LAR,82.8,9.4,3.07,9.09,309
84,7.11,Mark Ingram,RB,NO,82.8,8.9,5.08,9.06,238
85,7.11,Anquan Boldin,WR,SF,83.4,9.2,5.06,9.09,319
86,8.01,Russell Wilson,QB,SEA,85.5,10.4,4.12,10.02,349
87,8.02,Jordan Cameron,TE,CLE,85.6,10.6,6.04,11.01,162
88,8.02,BenJarvus Green-Ellis,RB,CIN,85.7,10.5,3.11,9.1,256
89,8.02,Josh Gordon,WR,CLE,86.1,8.5,6.03,10.03,319
90,8.05,Antonio Gates,TE,LAC,88.9,13.7,5.01,12.04,162
91,8.06,Greg Jennings,WR,MIN,89.5,9.8,2.07,10.02,285
92,8.06,Seattle Defense,DEF,SEA,89.9,10.7,1.09,9.12,320
93,8.08,Golden Tate,WR,DET,91.6,10.3,1.04,10.1,288
94,8.09,Chris Givens,WR,LAR,92.5,8.4,6.03,10.1,282
95,8.11,Jared Cook,TE,LAR,95.5,13.2,6.09,12.07,189
96,8.12,Steve Johnson,WR,None,95.6,8.5,6.06,11.12,290
97,8.12,Fred Jackson,RB,None,95.7,9.1,6.11,13.11,169
98,8.12,San Francisco Defense,DEF,SF,95.9,10.7,2.02,10.07,203
99,9.02,Mike Williams,WR,None,98.2,8.8,6.1,10.11,234
