"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
8.01,"jay cutler","QB","DEN",85.1,12.7,4.09,10.08,755,12
8.01,"chester taylor","RB","MIN",85.2,10.5,4.11,9.08,192,34
8.03,"nate burleson","WR","SEA",86.6,12.1,2.07,11.04,860,32
8.04,"vince young","QB","TEN",87.6,62.4,1.02,15.03,218,13
8.04,"chris johnson","RB","TEN",88.5,11.4,4.12,10.1,674,35
8.05,"bernard berrian","WR","MIN",88.7,10.5,6.02,10.08,362,33
8.05,"deuce mcallister","RB","NO",89,10.2,5.03,10.06,83,36
8.05,"jamarcus russell","QB","LV",89.3,73.2,1.03,15.12,94,14
8.06,"la chargers defense","DEF","LAC",90.2,12.8,1.06,10.03,267,1
8.06,"patrick crayton","WR","DAL",90.4,12.1,4.11,11.02,632,34
8.08,"marc bulger","QB","LAR",91.6,11.5,5.1,10.07,143,15
8.08,"minnesota defense","DEF","MIN",91.7,11.1,1.1,10.04,466,2
8.09,"vernon davis","TE","SF",92.9,15.6,5.01,12.12,161,9
8.09,"felix jones","RB","DAL",93.2,11.9,3.12,10.08,168,37
8.09,"justin fargas","RB","LV",93.3,11.9,3.1,11.05,137,38
8.12,"donte stallworth","WR","CLE",96.1,11.9,5.01,11.02,239,35
9.01,"eli manning","QB","NYG",97.4,14.7,4.09,11.06,313,16
9.02,"chicago defense","DEF","CHI",97.8,17.5,1.11,10.12,146,3
9.06,"vincent jackson","WR","LAC",102.3,12.2,5.1,11.1,391,36
9.07,"new england defense","DEF","NE",102.7,13.8,1.05,11.03,149,4
9.09,"d.j. hackett","WR","CAR",105.2,10.7,7.03,11.06,117,37
9.1,"derrick mason","WR","BAL",105.9,12.6,6.05,12.01,353,38
9.1,"jake delhomme","QB","CAR",106,12.3,6.03,12.03,356,17
9.11,"ahman green","RB","HOU",106.9,13.2,6.12,13.01,95,39
9.12,"heath miller","TE","PIT",108.2,20.8,5.03,14.03,332,10
10.01,"chris perry","RB","CIN",109.3,23.6,5.02,15.12,1323,40
10.01,"kenny watson","RB","CIN",109.3,17.8,3.12,13.05,238,41
10.02,"matt schaub","QB","HOU",109.9,11.3,5.05,12.03,426,18
10.02,"javon walker","WR","LV",109.9,13.3,6.07,12.06,223,39
10.02,"jerry porter","WR","JAX",110.2,11.4,7.05,12.03,145,40
10.02,"ray rice","RB","BAL",110.4,14.8,6.1,13.07,664,42
10.04,"ny giants defense","DEF","NYG",111.7,23.9,1.12,12.05,93,5
10.05,"dallas defense","DEF","DAL",112.7,13.3,1.1,12.06,453,6
10.06,"bryant johnson","WR","SF",113.7,12.1,7.09,12.04,159,41
10.06,"ahmad bradshaw","RB","NYG",113.9,13.5,8.02,12.11,94,43
10.07,"philip rivers","QB","LAC",115,13.9,5.02,12.04,253,19
10.11,"reggie brown","WR","PHI",119.1,15.2,7.01,13.04,273,42
11.01,"deion branch","WR","SEA",121.4,11.2,8.03,12.11,92,43
11.02,"benjamin watson","TE","NE",121.6,21.2,5.05,15.08,186,11
11.02,"jerious norwood","RB","ATL",121.6,14.2,7.09,13.1,135,44
11.02,"reggie williams","WR","JAX",121.7,13.8,8.01,13.05,185,44
11.02,"aaron rodgers","QB","GB",122.4,10.4,8.01,13.06,311,20
11.02,"pittsburgh defense","DEF","PIT",122.4,12.7,4.03,15.06,210,7
