#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,Antonio Brown,WR,PIT,1.3,0.6,1.01,1.04,196
2,1.02,Todd Gurley,RB,LAR,2.4,1.2,1.01,1.07,103
3,1.03,Julio Jones,WR,ATL,3.3,1.1,1.02,1.07,143
4,1.04,Odell Beckham Jr,WR,NYG,4,1.4,1.01,1.09,286
5,1.05,David Johnson,RB,ARI,5.4,2.4,1.01,2.03,205
6,1.06,Ezekiel Elliott,RB,DAL,6.3,2.1,1.02,1.11,168
7,1.07,Adrian Peterson,RB,MIN,6.6,2.1,1.01,1.12,224
8,1.08,Lamar Miller,RB,HOU,8.2,1.7,1.04,1.12,222
9,1.09,A.J. Green,WR,CIN,8.9,2,1.04,2.01,252
10,1.09,DeAndre Hopkins,WR,HOU,9.1,2.1,1.05,2.04,260
11,1.1,LeVeon Bell,RB,PIT,10.1,2.6,1.03,2.07,217
12,1.12,Allen Robinson,WR,JAX,11.9,2,1.04,2.06,260
13,2.02,Rob Gronkowski,TE,NE,13.9,3.3,1.02,2.1,183
14,2.02,Dez Bryant,WR,DAL,14,2.1,1.1,2.09,144
15,2.03,Mike Evans,WR,TB,15.2,2.3,1.04,2.11,209
16,2.03,Eddie Lacy,RB,GB,15.3,2.6,1.07,2.12,253
17,2.05,Jamaal Charles,RB,KC,16.5,3.6,1.08,2.12,143
18,2.06,Devonta Freeman,RB,ATL,17.6,3.1,1.11,3.04,208
19,2.06,Brandon Marshall,WR,NYJ,17.7,2.7,1.1,3.01,234
20,2.07,Jordy Nelson,WR,GB,19.3,3.1,1.12,3.05,256
21,2.08,LeSean McCoy,RB,BUF,19.7,3.1,1.12,3.06,219
22,2.09,Keenan Allen,WR,LAC,21.1,3.3,2.01,3.07,208
23,2.1,Amari Cooper,WR,LV,22.5,3.5,2.02,3.07,198
24,2.11,Mark Ingram,RB,NO,22.9,3.6,2.01,3.08,224
25,2.12,Doug Martin,RB,TB,24.1,3.7,2.02,3.1,193
26,3.02,Alshon Jeffery,WR,CHI,26.3,3.7,2.01,4.02,179
27,3.03,Brandin Cooks,WR,NO,27.3,3.6,2.05,4.01,176
28,3.04,Cam Newton,QB,CAR,27.7,7,1.07,4.07,152
29,3.05,CJ Anderson,RB,DEN,28.6,4,2.03,4.03,176
30,3.05,Sammy Watkins,WR,BUF,29,3.6,2.05,4.04,176
31,3.07,Latavius Murray,RB,LV,30.7,4,2.11,4.04,196
32,3.08,T.Y. Hilton,WR,IND,31.5,3.4,2.1,4.07,224
33,3.08,Aaron Rodgers,QB,GB,32.3,7.2,1.05,4.1,159
34,3.08,Demaryius Thomas,WR,DEN,32.4,3.7,2.11,4.08,216
35,3.09,Thomas Rawls,RB,SEA,32.6,4.6,2.05,4.11,236
36,3.1,Randall Cobb,WR,GB,33.7,4.3,2.04,4.09,211
37,4.01,DeMarco Murray,RB,TEN,36.5,5.1,2.09,4.12,194
38,4.01,Jeremy Hill,RB,CIN,36.5,4.4,2.08,4.11,210
39,4.02,Kelvin Benjamin,WR,CAR,38.1,5.1,2.12,5.03,222
40,4.04,Jarvis Landry,WR,MIA,39.9,4,3.01,5.03,185
41,4.04,Carlos Hyde,RB,SF,40,5.1,3.01,5.04,191
42,4.04,Jordan Reed,TE,WAS,40,5.2,3.01,5.07,158
43,4.06,Donte Moncrief,WR,IND,41.7,4.7,3.04,5.1,170
44,4.06,Matt Forte,RB,NYJ,42.4,4.5,3.05,5.08,207
45,4.08,Jeremy Langford,RB,CHI,43.8,5.1,3.04,5.12,205
46,4.09,Jeremy Maclin,WR,KC,44.9,5.5,3.02,5.09,188
47,4.09,Melvin Gordon,RB,LAC,45.2,5.2,3.04,5.09,204
48,4.11,Jonathan Stewart,RB,CAR,46.9,5.4,3.06,5.11,159
49,4.11,Russell Wilson,QB,SEA,47.4,5.9,3.03,6.03,129
50,4.12,Eric Decker,WR,NYJ,47.9,5.8,2.09,6.01,197
51,5.02,Julian Edelman,WR,NE,50.3,6.3,2.09,6.02,143
52,5.03,Greg Olsen,TE,CAR,51.3,6.2,3.05,6.05,158
53,5.03,Josh Gordon,WR,CLE,51.5,5.7,4.02,6.07,197
54,5.04,Doug Baldwin,WR,SEA,51.9,6.4,3.08,6.06,189
55,5.05,Arian Foster,RB,MIA,52.9,5.3,3.11,6.05,156
56,5.07,Andrew Luck,QB,IND,54.8,6,3.09,6.08,147
57,5.07,Michael Floyd,WR,ARI,55.2,5.8,4.03,7.09,216
58,5.07,Ryan Mathews,RB,PHI,55.3,5.5,4.01,6.1,232
59,5.09,Drew Brees,QB,NO,57.2,5.9,4.04,6.11,123
60,5.12,Golden Tate,WR,DET,60,5.8,3.1,7.04,193
61,6.01,Matt Jones,RB,WAS,60.9,6,4.06,7.03,161
62,6.01,Marvin Jones,WR,DET,61.3,5.9,5.01,7.08,197
63,6.01,Travis Kelce,TE,KC,61.4,5,4.1,7.01,102
64,6.02,DeAngelo Williams,RB,PIT,61.8,5.5,5.02,7.08,154
65,6.03,Frank Gore,RB,IND,62.6,7.1,2.11,7.09,147
66,6.04,Ben Roethlisberger,QB,PIT,64.4,6.8,5.01,7.09,106
67,6.05,Rashad Jennings,RB,NYG,65.4,5.7,4.09,7.1,189
68,6.06,Allen Hurns,WR,JAX,65.8,8.8,3.08,8.07,181
69,6.06,Tom Brady,QB,NE,66,6.8,4.09,7.09,118
70,6.08,Giovani Bernard,RB,CIN,67.7,6.7,4.11,7.12,193
71,6.09,Delanie Walker,TE,TEN,68.9,7.1,5.01,8.03,105
72,6.1,Chris Ivory,RB,JAX,69.6,7.7,4.11,8.06,159
73,6.1,Derrick Henry,RB,TEN,70.5,7.2,4.09,8.05,219
74,6.12,Larry Fitzgerald,WR,ARI,71.6,9.8,3.01,9.01,176
75,7.01,Coby Fleener,TE,NO,72.7,7.1,4.11,8.06,105
76,7.02,Tyler Lockett,WR,SEA,73.9,8.4,4.09,8.12,171
77,7.04,Emmanuel Sanders,WR,DEN,76.1,9.6,2.12,9.02,194
78,7.05,Ameer Abdullah,RB,DET,77.3,6.6,5.02,9.05,210
79,7.05,Carson Palmer,QB,ARI,77.4,8.1,4.07,8.12,110
80,7.06,John Brown,WR,ARI,78.3,8,5.04,9.01,180
