"Pick","Name","Pos","Team","Overall","Std..Def","High","Low","Times.Drafted","Pos_ADP"
7.1,"sammy watkins","WR","KC",81.7,7.4,5.1,9.05,451,33
7.1,"kirk cousins","QB","MIN",82.1,9.1,4.11,10.02,347,8
7.11,"delanie walker","TE","TEN",83.3,8,6.03,10.04,342,9
7.12,"marlon mack","RB","IND",84.3,8.9,4.09,9.08,476,36
8.02,"andrew luck","QB","IND",86.5,9.9,3.01,10.06,374,9
8.03,"adrian peterson","RB","WAS",86.7,11.9,4.04,11.09,786,37
8.03,"aaron jones","RB","GB",87.5,7.4,6.01,9.11,429,38
8.04,"ronald jones","RB","TB",87.5,10.4,4.08,10.02,246,39
8.04,"jordy nelson","WR","LV",87.7,8.5,5.1,9.09,343,34
8.04,"robby anderson","WR","NYJ",87.8,8.5,4.01,10.04,547,35
8.05,"devin funchess","WR","CAR",88.6,8.9,5.1,10.04,495,36
8.07,"chris thompson","RB","WAS",90.7,8.6,5.04,10.02,372,40
8.08,"jacksonville defense","DEF","JAX",91.7,8.4,4.11,9.1,540,1
8.09,"cooper kupp","WR","LAR",92.6,8.6,5.09,10.04,483,37
8.1,"jordan reed","TE","WAS",94.3,11.6,6.05,12.03,385,10
8.12,"tarik cohen","RB","CHI",95.6,8.8,5.04,10.11,252,41
8.12,"matthew stafford","QB","DET",95.9,10.7,4.02,11.02,465,10
9.02,"jimmy garoppolo","QB","SF",97.7,11.2,3.05,11.01,358,11
9.02,"nelson agholor","WR","PHI",98.2,9.3,4.04,10.12,482,38
9.03,"randall cobb","WR","GB",98.6,8.6,6.03,10.1,310,39
9.04,"mike williams","WR","LAC",99.8,7.9,6.03,10.09,475,40
9.05,"la rams defense","DEF","LAR",101.3,7.6,7.02,11.02,297,2
9.06,"david njoku","TE","CLE",102.5,13.3,5.01,12.11,434,11
9.07,"legarrette blount","RB","DET",103.1,11.1,5.1,11.06,205,42
9.08,"kelvin benjamin","WR","KC",104.4,8.7,6.09,11.04,282,41
9.08,"philip rivers","QB","LAC",104.4,9.2,7.01,11.07,558,12
9.11,"robert woods","WR","LAR",107,9.7,6.07,11.05,316,42
9.12,"c.j. anderson","RB","LAR",108,10.8,6.03,12.1,211,43
9.12,"jamison crowder","WR","WAS",108.4,8.1,7.08,11.07,376,43
9.12,"minnesota defense","DEF","MIN",108.4,13.3,1.01,12.03,254,3
10.02,"kenny stills","WR","MIA",109.6,9.7,6.12,12.01,516,44
10.02,"matt ryan","QB","ATL",109.7,10.4,6.11,11.1,515,13
10.02,"latavius murray","RB","MIN",110,11.5,6.02,12.06,337,44
10.03,"nick chubb","RB","CLE",111.3,10.7,7.01,12.06,277,45
10.04,"ben roethlisberger","QB","PIT",112.5,11.6,2.09,12.02,467,14
10.08,"patrick mahomes","QB","KC",115.8,10,6.09,12.1,496,15
10.08,"corey clement","RB","PHI",116.4,11.4,7.01,12.11,337,46
10.08,"pierre garcon","WR","SF",116.5,9,7.1,12.04,297,45
10.09,"philadelphia defense","DEF","PHI",117.2,8.1,7.11,12.08,197,4
10.1,"sterling shepard","WR","NYG",118.2,10.2,6.03,12.09,385,46
10.11,"d.j. moore","WR","CAR",119.4,9.5,6.1,12.06,253,47
11.01,"calvin ridley","WR","ATL",121,9.6,7.03,12.08,245,48
