,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
299,Ben Obomanu\ObomBe00,SEA,WR,24,13,0,0,0,0,0,0,0,0,,0,29,12,180,15.00,1,0,,1,,,24,36.0,39.0,30.0,,110,
300,Anthony Thomas\ThomAn01,BUF,RB,30,10,2,0,0,0,0,0,36,89,2.47,0,20,15,95,6.33,1,0,,1,,,24,39.4,39.4,31.9,,88,
301,Tim Dwight\DwigTi00,OAK,WR,32,6,1,0,0,0,0,0,2,12,6.00,0,15,6,98,16.33,2,2,,2,,,23,29.0,29.0,26.0,,112,
302,Justin McCareins\McCaJu00,NYJ,WR,29,16,6,0,0,0,0,0,0,0,,0,46,19,232,12.21,0,0,,0,,,23,42.2,45.2,32.7,,111,
303,Sinorice Moss\MossSi00,NYG,WR,24,13,2,0,0,0,0,0,1,4,4.00,0,37,21,225,10.71,0,1,1,0,,,23,41.9,45.9,31.4,,113,
304,Dante Rosario\RosaDa00,CAR,TE,23,16,2,0,0,0,0,0,0,0,,0,7,6,108,18.00,2,0,,2,,,23,28.8,31.8,25.8,,44,
305,James Thrash\ThraJa00,WAS,WR,32,12,4,0,0,0,0,0,0,0,,0,18,9,107,11.89,2,1,1,2,,,23,29.7,33.7,25.2,,114,
306,Delanie Walker\WalkHu00,SFO,TE,23,16,10,0,0,0,0,0,0,0,,0,42,21,174,8.29,1,0,,1,,,23,44.4,47.4,33.9,,43,
307,Kyle Eckel\EckeKy00,NWE,RB,26,12,0,0,0,0,0,0,33,90,2.73,2,1,1,6,6.00,0,0,,2,,,22,22.6,22.6,22.1,,89,
308,Mike Karney\KarnMi00,NOR,RB,26,16,9,0,0,0,0,0,11,17,1.55,2,19,13,78,6.00,0,0,,2,,,22,34.5,34.5,28.0,,90,
309,Brooks Bollinger\BollBr00,MIN,QB,28,5,1,33,50,391,1,1,5,18,3.60,0,0,0,0,,0,1,1,0,1,,21,19.4,24.4,20.4,,59,
310,Antonio Chatman\ChatAn00,CIN,WR,28,13,1,0,0,0,0,0,1,5,5.00,0,29,19,149,7.84,1,0,,1,,,21,40.4,43.4,30.9,,115,
311,Kerry Collins\CollKe00,TEN,QB,35,6,1,50,82,531,0,0,3,-3,-1.00,0,0,0,0,,0,1,1,0,,,21,18.9,22.9,18.9,,61,
312,Glenn Holt\HoltGl00,CIN,WR,23,16,0,0,0,0,0,0,2,2,1.00,0,24,16,143,8.94,1,3,2,2,,,21,38.5,43.5,30.5,,116,
313,Reggie Kelly\KellRe00,CIN,TE,30,15,15,0,0,0,0,0,0,0,,0,27,20,211,10.55,0,0,,0,,,21,41.1,44.1,31.1,,46,
314,Matt Spaeth\SpaeMa00,PIT,TE,24,14,5,0,0,0,0,0,0,0,,0,6,5,34,6.80,3,0,,3,,,21,26.4,26.4,23.9,,45,
315,Seneca Wallace\WallSe00,SEA,QB,27,10,0,19,28,215,2,1,4,17,4.25,0,3,2,47,23.50,0,1,1,0,,,21,21.0,23.0,21.0,,60,
316,Hank Baskett\BaskHa00,PHI,WR,25,16,0,0,0,0,0,0,0,0,,0,22,16,142,8.88,1,0,,1,,,20,36.2,39.2,28.2,,117,
317,Tony Curtis\CurtTo00,DAL,TE,24,16,0,0,0,0,0,0,0,0,,0,3,3,18,6.00,3,0,,3,,,20,22.8,22.8,21.3,,48,
318,De Dorsey\DorsDe00,CIN,RB,23,12,2,0,0,0,0,0,21,183,8.71,0,6,4,19,4.75,0,0,,0,,,20,24.2,27.2,22.2,,92,
319,Anthony Fasano\FasaAn00,DAL,TE,23,16,5,0,0,0,0,0,0,0,,0,21,14,143,10.21,1,0,,1,,,20,34.3,37.3,27.3,,47,
320,Garrett Wolfe\WolfGa00,CHI,RB,23,13,0,0,0,0,0,0,31,85,2.74,0,13,9,117,13.00,0,1,,0,,,20,29.2,32.2,24.7,,91,
321,David Anderson\AndeDa01,HOU,WR,24,8,0,0,0,0,0,0,0,0,,0,17,12,131,10.92,1,1,1,1,,,19,29.1,33.1,23.1,,118,
322,Kyle Brady\BradKy00,NWE,TE,35,14,9,0,0,0,0,0,0,0,,0,16,9,70,7.78,2,0,,2,,,19,28.0,28.0,23.5,,50,
323,John Broussard\BrouJo00,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,12,4,126,31.50,1,0,,1,,,19,22.6,25.6,20.6,,119,
324,Ben Patrick\PatrBe00,ARI,TE,23,8,3,0,0,0,0,0,0,0,,0,12,7,73,10.43,2,0,,2,,,19,26.3,26.3,22.8,,49,
325,Michael Robinson\RobiMi00,SFO,RB,24,15,1,0,0,0,0,0,26,121,4.65,0,13,11,73,6.64,0,1,,0,,,19,30.4,33.4,24.9,,93,
326,B.J. Askew\AskeB.00,TAM,RB,27,13,9,0,0,0,0,0,0,0,,0,21,18,175,9.72,0,0,,0,,,18,35.5,38.5,26.5,,94,
327,Tim Carter\CartTi00,CLE,WR,28,16,0,0,0,0,0,0,0,0,,0,22,8,117,14.63,1,0,,1,,,18,25.7,28.7,21.7,,120,
328,Joel Dreessen\DreeJo00,HOU,TE,25,13,0,0,0,0,0,0,0,0,,0,6,4,55,13.75,2,0,,2,,,18,21.5,21.5,19.5,,52,
329,Glenn Martinez\MartGl00,DEN,WR,26,12,1,0,0,0,0,0,0,0,,0,24,14,175,12.50,0,3,1,1,,,18,35.5,39.5,28.5,,121,
330,George Wrighster\WrigGe00,JAX,TE,26,11,6,0,0,0,0,0,0,0,,0,24,17,123,7.24,1,0,,1,,,18,35.3,38.3,26.8,,51,
331,Aveion Cason\CasoAv00,DET,RB,28,12,0,0,0,0,0,0,11,38,3.45,0,16,14,129,9.21,0,2,1,0,,,17,28.7,32.7,21.7,,96,
332,Rashied Davis\DaviRa00,CHI,WR,28,16,1,0,0,0,0,0,0,0,,0,32,17,165,9.71,0,0,,0,,,17,33.5,36.5,25.0,,122,
333,Priest Holmes\HolmPr00,KAN,RB,34,4,2,0,0,0,0,0,46,137,2.98,0,10,5,17,3.40,0,0,,0,1,,17,22.4,25.4,19.9,,95,
334,JaMarcus Russell\RussJa00,OAK,QB,22,4,1,36,66,373,2,4,5,4,0.80,0,0,0,0,,0,4,2,0,,1,17,13.3,22.3,17.3,,62,
335,Matt Schobel\SchoMa00,PHI,TE,29,15,6,0,0,0,0,0,0,0,,0,21,11,108,9.82,1,0,,1,,,17,27.8,30.8,22.3,,53,
336,Christian Fauria\FaurCh00,CAR,TE,36,15,4,0,0,0,0,0,0,0,,0,6,5,39,7.80,2,0,,2,,,16,20.9,20.9,18.4,,55,
337,Bryan Fletcher\FletBr00,IND,TE,28,15,3,0,0,0,0,0,0,0,,0,27,18,143,7.94,0,0,,0,1,,16,34.3,37.3,25.3,,54,
338,Jerome Harrison\HarrJe00,CLE,RB,24,8,0,0,0,0,0,0,23,142,6.17,0,2,2,19,9.50,0,0,,0,,,16,18.1,21.1,17.1,,98,
339,John Madsen\MadsJo00,OAK,WR,24,16,3,0,0,0,0,0,0,0,,0,12,8,102,12.75,1,0,,1,,,16,24.2,27.2,20.2,,123,
340,Mewelde Moore\MoorMe00,MIN,RB,25,12,0,0,1,0,0,0,20,113,5.65,0,8,6,48,8.00,0,1,,0,,,16,22.1,25.1,19.1,,97,
341,Aaron Rodgers\RodgAa00,GNB,QB,24,2,0,20,28,218,1,0,7,29,4.14,0,0,0,0,,0,0,,0,,,16,15.6,15.6,15.6,,63,
342,Troy Walters\WaltTr00,DET,WR,31,13,0,0,0,0,0,0,0,0,,0,10,9,101,11.22,1,1,,1,,,16,25.1,28.1,20.6,,124,
343,Todd Yoder\YodeTo00,WAS,TE,29,15,1,0,0,0,0,0,0,0,,0,12,7,97,13.86,1,0,,1,,,16,22.7,22.7,19.2,,56,
344,Casey Fitzsimmons\FitzCa00,DET,TE,27,16,5,0,0,0,0,0,0,0,,0,10,8,85,10.63,1,0,,2,,,15,28.5,28.5,24.5,,57,
345,Jacoby Jones\JoneJa03,HOU,WR,23,14,3,0,0,0,0,0,3,-1,-0.33,0,24,15,149,9.93,0,2,2,0,,,15,25.8,30.8,18.3,,125,
346,Brandon Manumaleuna\ManuBr00,SDG,WR,27,16,12,0,0,0,0,0,0,0,,0,15,10,86,8.60,1,0,,1,,,15,24.6,24.6,19.6,,126,
347,Travis Minor\MinoTr00,STL,RB,28,14,0,0,0,0,0,0,17,68,4.00,0,17,12,86,7.17,0,0,,0,,,15,27.4,27.4,21.4,,100,
348,Antonio Pittman\PittAn00,STL,RB,22,11,0,0,0,0,0,0,38,139,3.66,0,9,3,15,5.00,0,0,,0,,,15,18.4,21.4,16.9,,99,
349,Maurice Stovall\StovMa00,TAM,WR,22,15,1,0,0,0,0,0,0,0,,0,13,10,86,8.60,1,0,,1,,,15,24.6,24.6,19.6,,127,
350,Richard Angulo\AnguRi00,JAX,TE,27,5,0,0,0,0,0,0,0,0,,0,9,8,81,10.13,1,0,,1,,,14,22.1,22.1,18.1,,58,
351,Anthony Becht\BechAn00,TAM,TE,30,16,2,0,0,0,0,0,0,0,,0,7,5,20,4.00,2,0,,2,,,14,19.0,19.0,16.5,,59,
352,Reche Caldwell\CaldRe00,WAS,WR,28,8,1,0,0,0,0,0,0,0,,0,22,15,141,9.40,0,0,,0,,,14,29.1,32.1,21.6,,129,
353,Clifton Dawson\DawsCl00,2TM,RB,24,13,0,0,0,0,0,0,30,64,2.13,1,9,2,15,7.50,0,0,,1,,,14,15.9,15.9,14.9,,101,
354,Greg Estandia\EstaGr01,JAX,TE,25,10,0,0,0,0,0,0,0,0,,0,16,9,136,15.11,0,0,,0,,,14,22.6,25.6,18.1,,61,
355,Ben Hartsock\HartBe00,TEN,TE,27,16,9,0,0,0,0,0,0,0,,0,19,12,138,11.50,0,0,,0,,,14,25.8,28.8,19.8,,60,
356,Sean Morey\MoreSe00,ARI,WR,31,15,0,0,0,0,0,0,1,13,13.00,0,17,8,131,16.38,0,0,,0,,,14,22.4,25.4,18.4,,128,
357,Aundrae Allison\AlliAu00,MIN,WR,21,11,0,0,0,0,0,0,2,3,1.50,0,19,8,122,15.25,0,2,1,1,,,13,24.5,28.5,20.5,,133,
358,Mark Bradley\BradMa00,CHI,WR,25,15,0,0,0,0,0,0,0,0,,0,17,6,71,11.83,1,0,,1,,,13,19.1,19.1,16.1,,130,
359,Patrick Cobbs\CobbPa00,MIA,RB,24,14,0,0,0,0,0,0,15,47,3.13,1,6,2,20,10.00,0,0,,1,,,13,14.7,14.7,13.7,,104,
360,Le'Ron McClain\McClLe00,BAL,RB,23,16,11,0,0,0,0,0,8,18,2.25,0,13,9,55,6.11,1,1,1,1,,,13,20.3,21.3,15.8,,102,
361,Brandon Middleton\MiddBr00,DET,WR,26,5,0,0,0,0,0,0,0,0,,0,10,8,70,8.75,1,0,,1,,,13,21.0,21.0,17.0,,132,
362,Patrick Ramsey\RamsPa00,DEN,QB,28,2,0,29,48,262,1,1,2,6,3.00,0,0,0,0,,0,2,1,0,,,13,11.1,13.1,12.1,,64,
363,Tim Rattay\RattTi00,ARI,QB,30,4,0,15,27,164,3,3,2,5,2.50,0,0,0,0,,0,2,,0,,,13,13.1,16.1,16.1,,65,
364,Cory Ross\RossCo00,BAL,RB,25,6,0,0,0,0,0,0,12,72,6.00,1,0,0,0,,0,2,,1,,,13,13.2,13.2,13.2,,103,
365,Marcel Shipp\ShipMa00,ARI,RB,29,16,0,0,0,0,0,0,15,41,2.73,1,15,4,25,6.25,0,0,,1,,,13,16.6,16.6,14.6,,105,
366,Craphonso Thorpe\ThorCr00,IND,WR,24,5,0,0,0,0,0,0,0,0,,0,20,12,70,5.83,1,0,,1,,,13,25.0,25.0,19.0,,131,
367,Daniel Coats\CoatDa00,CIN,TE,23,15,3,0,0,0,0,0,0,0,,0,16,12,122,10.17,0,0,,0,,,12,24.2,27.2,18.2,,62,
368,Josh Cribbs*\CribJo01,CLE,WR,24,16,2,0,0,0,0,0,9,61,6.78,0,5,3,37,12.33,0,5,1,3,,1,12,30.8,31.8,29.3,,135,
369,Carey Davis\DaviCa00,PIT,RB,26,16,7,0,0,0,0,0,17,68,4.00,0,14,12,49,4.08,0,0,,0,,,12,23.7,23.7,17.7,,107,
370,Adam Jennings\JennAd00,ATL,WR,25,16,2,0,0,0,0,0,0,0,,0,6,6,62,10.33,1,1,1,1,,,12,16.2,17.2,13.2,,134,
371,Jeremi Johnson\JohnJe00,CIN,RB,27,16,9,0,0,0,0,0,7,25,3.57,0,7,6,32,5.33,1,0,,1,,,12,17.7,17.7,14.7,,106,
372,Byron Leftwich\LeftBy00,ATL,QB,27,3,2,32,58,279,1,2,6,7,1.17,0,0,0,0,,0,6,2,0,,,12,7.9,11.9,9.9,,66,
373,Ashley Lelie\LeliAs00,SFO,WR,27,15,3,0,0,0,0,0,0,0,,0,27,10,115,11.50,0,1,,0,,,12,21.5,24.5,16.5,,136,
374,Lorenzo Neal*+\NealLo00,SDG,RB,37,13,8,0,0,0,0,0,13,32,2.46,0,11,8,23,2.88,1,1,,1,,,12,19.5,19.5,15.5,,108,
375,Charlie Batch\BatcCh00,PIT,QB,33,7,1,17,36,232,2,3,12,-7,-0.58,0,0,0,0,,0,0,,0,,,11,10.6,13.6,13.6,,67,
376,Jackie Battle\BattJa00,KAN,RB,24,3,0,0,0,0,0,0,14,47,3.36,1,5,1,4,4.00,0,0,,1,,,11,12.1,12.1,11.6,,110,
377,Troy Bienemann\BienTr00,ARI,WR,24,16,4,0,0,0,0,0,0,0,,0,11,7,46,6.57,1,0,,1,,,11,17.6,17.6,14.1,,138,
378,Eddie Kennison\KennEd00,KAN,WR,34,8,8,0,0,0,0,0,1,5,5.00,0,26,13,101,7.77,0,1,,0,,,11,23.6,26.6,17.1,,137,
379,Deuce McAllister\McAlDe00,NOR,RB,29,3,3,0,0,0,0,0,24,92,3.83,0,5,4,15,3.75,0,1,1,0,,,11,12.7,13.7,10.7,,112,
380,Jason McKie\McKiJa00,CHI,RB,27,16,11,0,0,0,0,0,6,17,2.83,1,15,9,33,3.67,0,1,1,1,,,11,18.0,19.0,13.5,,111,
381,Dwayne Wright\WrigDw01,BUF,RB,24,15,0,0,0,0,0,0,29,94,3.24,0,3,3,17,5.67,0,1,1,0,,,11,12.1,13.1,10.6,,109,
382,Devin Aromashodu\AromDe00,IND,WR,23,6,1,0,0,0,0,0,0,0,,0,17,7,96,13.71,0,0,,0,,,10,16.6,16.6,13.1,,143,
383,Steve Breaston\BreaSt00,ARI,WR,24,16,0,0,0,0,0,0,2,8,4.00,0,14,8,92,11.50,0,0,,1,,,10,24.0,24.0,20.0,,140,
384,Adimchinobe Echemandu\EcheAd00,2TM,RB,27,9,0,0,0,0,0,0,20,85,4.25,0,2,2,11,5.50,0,1,1,0,,,10,9.6,10.6,8.6,,119,
385,Malcom Floyd\FloyMa00,SDG,WR,26,6,1,0,0,0,0,0,0,0,,0,13,7,97,13.86,0,0,,0,,,10,16.7,16.7,13.2,,141,
386,Bryan Gilmore\GilmBr00,SFO,WR,29,10,0,0,0,0,0,0,1,-8,-8.00,0,19,7,111,15.86,0,0,,0,,,10,17.3,20.3,13.8,,139,
387,Marques Hagans\HagaMa00,STL,WR,25,4,1,0,0,0,0,0,2,-4,-2.00,0,15,8,101,12.63,0,2,,0,,,10,17.7,20.7,13.7,,142,
388,Steve Heiden\HeidSt00,CLE,TE,31,16,6,0,0,0,0,0,0,0,,0,21,12,104,8.67,0,0,,0,,,10,22.4,25.4,16.4,,63,
389,Brad Hoover\HoovBr00,CAR,RB,31,16,12,0,0,0,0,0,12,39,3.25,0,14,10,58,5.80,0,0,,0,,,10,19.7,19.7,14.7,,118,
390,Jim Kleinsasser\KleiJi00,MIN,TE,30,16,10,0,0,0,0,0,0,0,,0,10,4,43,10.75,1,0,,1,,,10,14.3,14.3,12.3,,64,
391,Joe Klopfenstein\KlopJo00,STL,RB,24,16,11,0,0,0,0,0,0,0,,0,3,2,37,18.50,1,0,,1,,,10,11.7,11.7,10.7,,117,
392,Luke Lawton\LawtLu00,IND,RB,27,11,0,0,0,0,0,0,5,13,2.60,0,4,4,29,7.25,1,0,,1,,,10,14.2,14.2,12.2,,116,
393,Ovie Mughelli\MughOv00,ATL,RB,27,16,7,0,0,0,0,0,6,7,1.17,1,10,6,36,6.00,0,0,,1,,,10,16.3,16.3,13.3,,113,
394,Jeb Putzier\PutzJe00,HOU,TE,28,8,1,0,0,0,0,0,0,0,,0,10,6,39,6.50,1,0,,1,,,10,15.9,15.9,12.9,,65,
395,Tony Richardson*\RichTo00,MIN,RB,36,14,3,0,0,0,0,0,7,13,1.86,0,16,11,89,8.09,0,0,,0,,,10,21.2,21.2,15.7,,115,
396,Jason Snelling\SnelJa00,ATL,RB,24,7,0,0,0,0,0,0,13,43,3.31,1,0,0,0,,0,0,,1,,,10,10.3,10.3,10.3,,114,
397,Mike Anderson\AndeMi00,BAL,RB,34,8,0,0,0,0,0,0,15,62,4.13,0,4,4,26,6.50,0,2,1,0,,,9,10.8,11.8,8.8,,122,
398,Nate Jackson\JackNa00,DEN,TE,28,5,1,0,0,0,0,0,0,0,,0,4,3,34,11.33,1,0,,1,,,9,12.4,12.4,10.9,,66,
399,Taylor Jacobs\JacoTa00,2TM,WR,26,10,0,0,0,0,0,0,1,-8,-8.00,0,9,3,40,13.33,1,0,,1,,,9,12.2,12.2,10.7,,144,
400,Jim Sorgi\SorgJi00,IND,QB,27,4,0,18,36,132,1,0,6,-4,-0.67,0,0,0,0,,0,0,,0,,,9,8.9,8.9,8.9,,68,
401,Mack Strong\StroMa00,SEA,RB,36,5,2,0,0,0,0,0,4,19,4.75,0,12,9,72,8.00,0,0,,0,,,9,18.1,18.1,13.6,,120,
402,LaBrandon Toefield\ToefLa00,JAX,RB,27,2,1,0,0,0,0,0,13,27,2.08,1,1,1,4,4.00,0,0,,1,,,9,10.1,10.1,9.6,,121,
403,Mike Williams\WillMi03,2TM,WR,23,8,1,0,0,0,0,0,0,0,,0,23,7,90,12.86,0,1,1,0,,,9,14.0,15.0,10.5,,145,
404,Wallace Wright\WrigWa00,NYJ,WR,23,16,1,0,0,0,0,0,0,0,,0,11,6,87,14.50,0,0,,0,,,9,14.7,14.7,11.7,,146,
405,Miles Austin\AustMi00,DAL,WR,23,16,0,0,0,0,0,0,0,0,,0,10,5,76,15.20,0,0,,0,,,8,12.6,12.6,10.1,,149,
406,Tony Hunt\HuntTo01,PHI,RB,22,8,0,0,0,0,0,0,10,16,1.60,1,0,0,0,,0,0,,1,,,8,7.6,7.6,7.6,,123,
407,Dwayne Jarrett\JarrDw00,CAR,WR,21,7,0,0,0,0,0,0,1,11,11.00,0,13,6,73,12.17,0,0,,0,,,8,14.4,14.4,11.4,,147,
408,Joe Kowalewski\KowaJo00,NYJ,TE,25,13,2,0,0,0,0,0,0,0,,0,9,5,18,3.60,1,0,,1,,,8,12.8,12.8,10.3,,67,
409,Chad Lucas\LucaCh00,TAM,WR,26,2,1,0,0,0,0,0,0,0,,0,5,5,82,16.40,0,0,,0,,,8,13.2,13.2,10.7,,148,
410,Craig Nall\NallCr00,GNB,QB,28,1,0,7,15,88,1,0,5,6,1.20,0,0,0,0,,0,2,1,0,,,8,6.1,7.1,6.1,,70,
411,Chris Weinke\WeinCh00,SFO,QB,35,2,1,13,22,104,1,0,0,0,,0,0,0,0,,0,0,,0,,,8,8.2,8.2,8.2,,69,
412,Daniel Wilcox\WilcDa01,BAL,TE,30,5,2,0,0,0,0,0,0,0,,0,11,6,18,3.00,1,0,,1,,,8,13.8,13.8,10.8,,68,
413,Brian Calhoun\CalhBr00,DET,RB,23,4,0,0,0,0,0,0,7,35,5.00,0,5,5,35,7.00,0,0,,0,,,7,12.0,12.0,9.5,,124,
414,Matt Cassel\CassMa00,NWE,QB,25,6,0,4,7,38,0,1,4,12,3.00,1,0,0,0,,0,1,,1,,,7,6.7,7.7,7.7,,71,
415,Ahmard Hall\HallAh00,TEN,RB,28,11,4,0,0,0,0,0,1,8,8.00,0,12,9,60,6.67,0,0,,0,,,7,15.8,15.8,11.3,,126,
416,Aaron Moorehead\MoorAa00,IND,WR,27,8,2,0,0,0,0,0,0,0,,0,22,8,65,8.13,0,0,,0,,,7,14.5,14.5,10.5,,151,
417,Legedu Naanee\NaanLe00,SDG,RB,24,13,0,0,0,0,0,0,0,0,,0,13,8,69,8.63,0,0,,0,,,7,14.9,14.9,10.9,,125,
418,Peerless Price\PricPe00,BUF,WR,31,4,4,0,0,0,0,0,0,0,,0,13,7,68,9.71,0,0,,0,,,7,13.8,13.8,10.3,,150,
419,Thomas Tapeh\TapeTh00,PHI,RB,27,16,8,0,0,0,0,0,5,18,3.60,0,11,8,50,6.25,0,0,,0,,,7,14.8,14.8,10.8,,127,
420,Jerame Tuman\TumaJe00,PIT,TE,31,6,1,0,0,0,0,0,0,0,,0,2,1,9,9.00,1,0,,1,,,7,7.9,7.9,7.4,,69,
421,Deon Anderson\AndeDe01,DAL,RB,24,8,4,0,0,0,0,0,0,0,,0,6,6,55,9.17,0,0,,0,,,6,11.5,11.5,8.5,,130,
422,Jameel Cook\CookJa00,HOU,RB,28,16,0,0,0,0,0,0,8,24,3.00,0,8,8,40,5.00,0,0,,0,,,6,14.4,14.4,10.4,,128,
423,Chris Davis\DaviCh02,TEN,WR,23,12,0,0,0,0,0,0,2,19,9.50,0,9,5,38,7.60,0,6,1,0,,,6,8.7,9.7,6.2,,153,
424,Jeff Dugan\DugaJe00,MIN,TE,26,16,3,0,0,0,0,0,2,7,3.50,0,8,7,57,8.14,0,1,1,0,,,6,11.4,12.4,7.9,,70,
425,Chad Mustard\MustCh00,DEN,TE,30,12,2,0,0,0,0,0,0,0,,0,7,5,62,12.40,0,0,,0,,,6,11.2,11.2,8.7,,71,
426,Moran Norris\NorrMo00,SFO,RB,29,16,5,0,0,0,0,0,7,17,2.43,0,11,6,38,6.33,0,0,,0,,,6,11.5,11.5,8.5,,131,
427,Steve Smith\SmitSt02,NYG,WR,22,5,0,0,0,0,0,0,0,0,,0,14,8,63,7.88,0,0,,0,,,6,14.3,14.3,10.3,,152,
428,Terrelle Smith\SmitTe00,ARI,RB,29,16,10,0,0,0,0,0,1,3,3.00,0,11,7,59,8.43,0,0,,0,,,6,13.2,13.2,9.7,,129,
429,Dwayne Blakley\BlakDw00,ATL,WR,28,12,3,0,0,0,0,0,0,0,,0,9,7,48,6.86,0,0,,0,,,5,11.8,11.8,8.3,,156,
430,Bruce Gradkowski\GradBr00,TAM,QB,24,4,0,13,24,130,0,1,7,20,2.86,0,0,0,0,,0,0,,0,,,5,5.2,6.2,6.2,,72,
431,Dante Hall\HallDa00,STL,WR,29,7,1,0,0,0,0,0,3,18,6.00,0,12,5,27,5.40,0,2,1,1,,,5,13.5,14.5,11.0,,157,
432,Korey Hall\HallKo99,GNB,RB,24,14,10,0,0,0,0,0,0,0,,0,11,8,49,6.13,0,0,,0,,,5,12.9,12.9,8.9,,134,
433,Gilbert Harris\HarrGi00,KAN,RB,23,4,0,0,0,0,0,0,9,9,1.00,0,4,3,38,12.67,0,1,,0,,,5,7.7,7.7,6.2,,135,
434,Madison Hedgecock\HedgMa00,2TM,RB,26,16,9,0,0,0,0,0,0,0,,0,12,7,52,7.43,0,0,,0,,,5,12.2,12.2,8.7,,133,
435,Johnnie Lee Higgins\HiggJo00,OAK,WR,24,16,2,0,0,0,0,0,2,3,1.50,0,8,6,47,7.83,0,4,2,0,,,5,7.0,9.0,4.0,,155,
436,Martrez Milner\MilnMa00,ATL,TE,23,8,2,0,0,0,0,0,0,0,,0,9,9,50,5.56,0,0,,0,,,5,14.0,14.0,9.5,,72,
437,J.T. O'Sullivan\OSulJ.00,DET,QB,28,4,0,13,26,148,1,2,4,-10,-2.50,0,0,0,0,,0,3,1,0,,,5,2.9,5.9,4.9,,73,
438,Artose Pinner\PinnAr00,ATL,RB,29,7,0,0,0,0,0,0,5,46,9.20,0,0,0,0,,0,0,,0,,,5,4.6,4.6,4.6,,136,
439,Willie Reid\ReidWi00,PIT,WR,25,6,0,0,0,0,0,0,0,0,,0,6,4,54,13.50,0,1,1,0,,,5,7.4,8.4,5.4,,154,
440,Sean Ryan\RyanSe00,NYJ,TE,27,10,1,0,0,0,0,0,0,0,,0,5,3,46,15.33,0,0,,0,,,5,7.6,7.6,6.1,,73,
441,Tyson Thompson\ThomTy00,DAL,RB,26,8,0,0,0,0,0,0,14,54,3.86,0,0,0,0,,0,1,1,0,,,5,3.4,4.4,3.4,,132,
442,Ben Troupe\TrouBe00,TEN,TE,25,16,2,0,0,0,0,0,1,-1,-1.00,0,9,5,47,9.40,0,0,,0,,,5,9.6,9.6,7.1,,74,
443,Dominique Byrd\ByrdDo00,STL,TE,23,9,0,0,0,0,0,0,0,0,,0,5,4,44,11.00,0,0,,0,,,4,8.4,8.4,6.4,,75,
444,Yamon Figurs\FiguYa00,BAL,WR,24,14,0,0,0,0,0,0,1,-1,-1.00,0,3,1,36,36.00,0,4,2,2,,,4,12.5,14.5,12.0,,163,
445,Dane Looker\LookDa00,STL,WR,31,13,0,0,0,0,0,0,0,0,,0,14,6,38,6.33,0,0,,0,,,4,9.8,9.8,6.8,,160,
446,Anthony Mix\MixxAn00,2TM,WR,24,9,0,0,0,0,0,0,0,0,,0,5,3,39,13.00,0,0,,0,,,4,6.9,6.9,5.4,,158,
447,Ryne Robinson\RobiRy00,CAR,WR,23,16,0,0,0,0,0,0,0,0,,0,8,4,35,8.75,0,2,,0,,,4,7.5,7.5,5.5,,161,
448,Courtney Taylor\TaylCo00,SEA,WR,23,8,0,0,0,0,0,0,0,0,,0,6,5,38,7.60,0,0,,0,,,4,8.8,8.8,6.3,,159,
449,David Tyree\TyreDa00,NYG,WR,27,12,0,0,0,0,0,0,0,0,,0,5,4,35,8.75,0,0,,0,,,4,7.5,7.5,5.5,,162,
450,Brock Berlin\BerlBr00,STL,QB,26,1,1,17,28,153,0,1,3,-16,-5.33,0,0,0,0,,0,2,1,0,,,3,0.5,2.5,1.5,,75,
451,Kenneth Darby\DarbKe00,TAM,RB,25,1,0,0,0,0,0,0,2,9,4.50,0,3,2,16,8.00,0,0,,0,,,3,4.5,4.5,3.5,,137,
452,Skyler Green\GreeSk20,CIN,WR,23,7,0,0,0,0,0,0,1,1,1.00,0,4,3,33,11.00,0,0,,0,,,3,6.4,6.4,4.9,,164,
453,Brad Johnson\JohnBr00,DAL,QB,39,16,0,7,11,79,0,0,5,-5,-1.00,0,0,0,0,,0,0,,0,,,3,2.7,2.7,2.7,,74,
454,Michael Matthews\MattMi00,NYG,TE,24,16,6,0,0,0,0,0,0,0,,0,13,6,28,4.67,0,0,,0,,,3,8.8,8.8,5.8,,76,
455,Garrett Mills\MillGa01,MIN,TE,24,1,0,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,,0,,,3,4.6,4.6,3.6,,77,
456,Chris Barclay\BarcCh00,2TM,RB,24,5,0,0,0,0,0,0,1,3,3.00,0,3,2,13,6.50,0,0,,0,,,2,3.6,3.6,2.6,,144,
457,Jon Bradley\BradJo20,DET,RB,26,15,6,0,0,0,0,0,5,9,1.80,0,4,2,10,5.00,0,1,1,0,,,2,1.9,2.9,0.9,,140,
