,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
210,Eric Johnson\JohnEr00,NOR,TE,28,14,12,0,0,0,0,0,0,0,,0,63,48,378,7.88,2,1,,2,,,50,97.8,100.8,73.8,,24,
211,Laurent Robinson\RobiLa01,ATL,WR,22,15,6,0,0,0,0,0,0,0,,0,74,37,437,11.81,1,1,1,1,,,50,84.7,88.7,66.2,,81,
212,Trent Green\GreeTr00,MIA,QB,37,5,5,85,141,987,5,7,7,32,4.57,0,0,0,0,,0,2,1,0,,,49,46.7,57.7,53.7,,45,
213,Fred Jackson\JackFr02,BUF,QB,26,8,1,0,0,0,0,0,58,300,5.17,0,30,22,190,8.64,0,0,,0,,,49,71.0,77.0,60.0,,43,
214,Brian Leonard\LeonBr00,STL,RB,23,16,7,0,0,0,0,0,86,303,3.52,0,39,30,183,6.10,0,0,,0,,,49,78.6,84.6,63.6,,63,
215,Lance Moore\MoorLa00,NOR,WR,24,16,4,0,0,0,0,0,2,7,3.50,1,50,32,302,9.44,2,2,,3,,,49,80.9,83.9,64.9,,83,
216,Roscoe Parrish\ParrRo00,BUF,WR,25,16,3,0,0,0,0,0,3,19,6.33,1,58,35,352,10.06,1,1,,3,,,49,90.1,93.1,72.6,,82,
217,Brad Smith\SmitBr01,NYJ,QB,24,16,9,0,1,0,0,0,12,45,3.75,0,67,32,325,10.16,2,1,,2,,,49,81.0,84.0,65.0,,44,
218,Ruvell Martin\MartRu00,GNB,WR,25,15,5,0,0,0,0,0,0,0,,0,28,16,242,15.13,4,1,,4,,,48,64.2,67.2,56.2,,84,
219,Steve McNair\McNaSt00,BAL,QB,34,6,6,133,205,1113,2,4,10,32,3.20,0,0,0,0,,0,8,7,0,,,48,33.7,47.7,37.7,,47,
220,Michael Pittman\PittMi00,TAM,RB,32,10,3,0,0,0,0,0,68,286,4.21,0,39,26,191,7.35,0,1,1,0,,,48,71.7,78.7,58.7,,64,
221,Bo Scaife\ScaiBo00,TEN,TE,26,16,15,0,0,0,0,0,0,0,,0,78,46,421,9.15,1,2,1,1,,,48,92.1,96.1,69.1,,25,
222,Vinny Testaverde\TestVi00,CAR,QB,44,7,6,94,172,952,5,6,9,22,2.44,0,0,0,0,,0,3,1,0,,,48,46.3,56.3,52.3,,46,
223,Gus Frerotte\FrerGu00,STL,QB,36,8,3,94,167,1014,7,12,6,3,0.50,0,0,0,0,,0,3,1,0,,1,47,44.9,60.9,56.9,,48,
224,Michael Bennett\BennMi00,2TM,RB,29,14,1,0,0,0,0,0,61,241,3.95,1,22,15,101,6.73,1,2,1,2,,,46,59.2,66.2,51.7,,65,
225,Chris Henry\HenrCh00,CIN,WR,24,8,2,0,0,0,0,0,0,0,,0,38,21,343,16.33,2,0,,2,,,46,67.3,70.3,56.8,,85,
226,Brandon Jackson\JackBr00,GNB,RB,22,11,3,0,0,0,0,0,75,267,3.56,1,22,16,130,8.13,0,0,,1,,,46,61.7,67.7,53.7,,67,
227,Greg Jones\JoneGr01,JAX,RB,26,16,11,0,0,0,0,0,42,119,2.83,2,19,11,99,9.00,2,0,,4,,,46,56.8,59.8,51.3,,66,
228,Robert Ferguson\FergRo00,MIN,WR,28,15,8,0,0,0,0,0,0,0,,0,61,32,391,12.22,1,0,,1,,,45,77.1,80.1,61.1,,86,
229,Shaun Hill\HillSh00,SFO,QB,27,3,2,54,79,501,5,1,12,14,1.17,1,0,0,0,,0,3,1,1,,,45,43.4,48.4,44.4,,50,
230,Greg Lewis\LewiGr01,PHI,WR,27,15,1,0,1,0,0,0,0,0,,0,23,13,265,20.38,3,2,1,3,,,45,55.5,59.5,49.0,,88,
231,Billy Miller\MillBi00,NOR,TE,30,16,6,0,0,0,0,0,0,0,,0,38,27,328,12.15,2,0,,2,,,45,71.8,74.8,58.3,,26,
232,Alex Smith\SmitAl03,SFO,QB,23,7,7,94,193,914,2,4,13,89,6.85,0,0,0,0,,0,6,5,0,,,45,35.5,47.5,39.5,,49,
233,Jerheme Urban\UrbaJe00,ARI,WR,27,10,2,0,0,0,0,0,0,0,,0,38,22,329,14.95,2,0,,2,,,45,66.9,69.9,55.9,,87,
234,Dominic Rhodes\RhodDo00,OAK,RB,28,10,2,0,0,0,0,0,75,302,4.03,1,18,11,70,6.36,0,2,1,1,,,43,52.2,56.2,46.7,,68,
235,Robert Royal\RoyaRo00,BUF,RB,28,16,15,0,0,0,0,0,0,0,,0,38,25,248,9.92,3,2,2,3,,,43,63.8,68.8,51.3,,69,
236,Jerramy Stevens\StevJe00,TAM,TE,28,14,3,0,0,0,0,0,0,0,,0,21,18,189,10.50,4,0,,4,,,43,60.9,63.9,51.9,,27,
237,Darius Walker\WalkDa00,HOU,RB,22,4,2,0,0,0,0,0,58,264,4.55,1,15,13,81,6.23,0,0,,1,1,,43,55.5,58.5,49.0,,70,
238,David Martin\MartDa00,MIA,TE,28,15,15,0,0,0,0,0,0,0,,0,51,34,303,8.91,2,0,,2,,,42,76.3,79.3,59.3,,29,
239,Samie Parker\ParkSa00,KAN,WR,26,15,7,0,0,0,0,0,1,2,2.00,0,41,24,298,12.42,2,1,,2,,,42,66.0,69.0,54.0,,89,
240,Ben Utecht\UtecBe00,IND,TE,26,14,13,0,0,0,0,0,0,0,,0,37,31,364,11.74,1,2,,1,,,42,73.4,76.4,57.9,,28,
241,Andre Hall\HallAn01,DEN,RB,25,10,1,0,0,0,0,0,44,216,4.91,2,2,2,69,34.50,0,1,,2,,,41,42.5,45.5,41.5,,72,
242,Devin Hester*+\HestDe99,CHI,WR,25,16,0,0,0,0,0,0,7,-10,-1.43,0,38,20,299,14.95,2,7,1,8,,,41,94.9,98.9,84.9,,90,
243,Brandon Jones\JoneBr02,TEN,WR,25,9,2,0,0,0,0,0,2,37,18.50,0,34,21,248,11.81,2,1,,2,,,41,61.5,64.5,51.0,,91,
