"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"aaron rodgers","QB","28","15","343","502","4643","45","6","60","257","3","0","0","0","0","","","","399","171","1"
"drew brees","QB","32","16","468","657","5476","46","14","21","86","1","0","0","0","0","1","","3","396","167","2"
"ray rice","RB","24","16","1","1","1","1","0","291","1364","12","104","76","704","3","2","","","301","152","1"
"calvin johnson","WR","26","16","0","0","0","0","0","1","11","0","158","96","1681","16","1","","","267","151","1"
"cam newton","QB","22","16","310","517","4051","21","17","126","706","14","1","1","27","0","2","","2","375","147","3"
"rob gronkowski","TE","22","16","0","0","0","0","0","1","2","1","124","90","1327","17","","","","241","143","1"
"tom brady","QB","34","16","401","611","5235","39","12","43","109","3","0","0","0","0","2","","","370","142","4"
"lesean mccoy","RB","23","15","0","0","0","0","0","273","1309","17","69","48","315","3","1","","","282","134","2"
"matthew stafford","QB","23","16","421","663","5038","41","16","22","78","0","0","0","0","0","1","","2","347","119","5"
"maurice jones-drew","RB","26","16","0","0","0","0","0","343","1606","8","64","43","374","3","1","","","264","115","3"
"arian foster","RB","25","13","0","0","0","0","0","278","1224","10","72","53","617","2","2","","","256","108","4"
"jordy nelson","WR","26","16","0","0","0","0","0","0","0","0","96","68","1263","15","","","","216","100","2"
"jimmy graham","TE","25","16","0","0","0","0","0","0","0","0","149","99","1310","11","1","","","197","99","2"
"wes welker","WR","30","16","0","0","0","0","0","4","30","0","173","122","1569","9","","","","214","98","3"
"victor cruz","WR","25","16","0","0","0","0","0","1","3","0","131","82","1536","9","1","","","208","92","4"
"larry fitzgerald","WR","28","16","0","0","0","0","0","0","0","0","154","80","1411","8","","","","189","73","5"
"steve smith","WR","32","16","0","0","0","0","0","6","56","0","129","79","1394","7","2","1","","189","73","6"
"marshawn lynch","RB","25","15","0","2","0","0","0","285","1204","12","41","28","212","1","2","","","220","71","5"
"michael turner","RB","29","16","0","0","0","0","0","301","1340","11","26","17","168","0","2","","","217","68","6"
"percy harvin","WR","23","16","0","0","0","0","0","52","345","2","121","87","967","6","2","","","179","63","7"
"roddy white","WR","30","16","0","0","0","0","0","0","0","0","180","100","1296","8","","","","178","62","8"
"eli manning","QB","30","16","359","589","4933","29","16","35","15","1","0","0","0","0","4","","","289","60","6"
"mike wallace","WR","25","16","0","0","0","0","0","5","57","0","114","72","1193","8","1","","","173","57","9"
"vincent jackson","WR","28","16","0","0","0","0","0","3","51","0","115","60","1106","9","","","","170","54","10"
"tony romo","QB","31","16","346","522","4184","31","10","22","46","1","0","0","0","0","3","","","282","53","7"
"matt ryan","QB","26","16","347","566","4177","29","12","37","84","2","0","0","0","0","3","","","281","53","8"
"marques colston","WR","28","14","0","0","0","0","0","0","0","0","107","80","1143","8","1","","","162","46","11"
"hakeem nicks","WR","23","15","0","0","0","0","0","0","0","0","133","76","1192","7","","","","161","45","12"
"brandon marshall","WR","27","16","0","0","0","0","0","1","13","0","141","81","1214","6","1","","","161","45","13"
"ryan mathews","RB","24","14","0","0","0","0","0","222","1091","6","59","50","455","0","2","","","191","42","7"
"adrian peterson","RB","26","12","0","0","0","0","0","208","970","12","24","18","139","1","","","","189","40","8"
"aaron hernandez","TE","22","14","0","0","0","0","0","5","45","0","113","79","910","7","1","","","138","40","3"
"michael bush","RB","27","16","0","0","0","0","0","256","977","7","47","37","418","1","1","","","188","39","9"
"darren sproles","RB","28","16","0","0","0","0","0","87","603","2","111","86","710","7","","","","187","39","10"
"a.j. green","WR","23","15","0","0","0","0","0","5","53","0","115","65","1057","7","","","","153","37","14"
"philip rivers","QB","30","16","366","582","4624","27","20","26","36","1","0","0","0","0","5","","1","265","36","9"
"laurent robinson","WR","26","14","0","0","0","0","0","0","0","0","80","54","858","11","","","","152","36","15"
"steven jackson","RB","28","15","0","0","0","0","0","260","1145","5","58","42","333","1","1","","","184","35","11"
"nate washington","WR","28","16","0","0","0","0","0","2","5","1","121","74","1023","7","","","","151","35","16"
"frank gore","RB","28","16","0","0","0","0","0","282","1211","8","31","17","114","0","2","","","183","34","12"
"julio jones","WR","22","13","0","0","0","0","0","6","56","0","95","54","959","8","1","","","150","33","17"
"greg jennings","WR","28","13","0","0","0","0","0","0","0","0","101","67","949","9","","","","149","33","18"
"tony gonzalez","TE","35","16","0","0","0","0","0","0","0","0","116","80","875","7","","","","130","32","4"
"reggie bush","RB","26","15","0","0","0","0","0","216","1086","6","52","43","296","1","2","","","180","32","13"
"dez bryant","WR","23","15","0","0","0","0","0","1","5","0","103","63","928","9","2","","","147","31","19"
