"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"arian foster","RB","24","16","0","0","0","0","0","327","1616","16","84","66","604","2","2","","","330","192","1"
"peyton hillis","RB","24","16","1","2","13","0","0","270","1177","11","77","61","477","2","5","","","244","106","2"
"adrian peterson","RB","25","15","0","0","0","0","0","283","1298","12","50","36","341","1","1","","","242","104","3"
"jamaal charles","RB","24","16","0","0","0","0","0","230","1467","5","64","45","468","3","2","","","242","103","4"
"chris johnson","RB","25","16","0","0","0","0","0","316","1364","11","57","44","245","1","2","","","233","95","5"
"brandon lloyd","WR","29","16","0","0","0","0","0","1","-18","0","153","77","1448","11","","","","209","92","1"
"dwayne bowe","WR","26","16","0","0","0","0","0","1","4","0","133","72","1162","15","","","","207","89","2"
"darren mcfadden","RB","23","13","0","1","0","0","0","223","1157","7","61","47","507","3","3","","","226","88","6"
"roddy white","WR","29","16","0","0","0","0","0","1","3","0","179","115","1389","10","1","2","","203","86","3"
"michael vick","QB","30","12","233","372","3018","21","6","100","676","9","0","0","0","0","3","","1","316","85","1"
"rashard mendenhall","RB","23","16","0","0","0","0","0","324","1273","13","34","23","167","0","2","","","222","84","7"
"lesean mccoy","RB","22","15","0","0","0","0","0","207","1080","7","91","78","592","2","1","","","221","83","8"
"greg jennings","WR","27","16","0","0","0","0","0","1","-1","0","125","76","1265","12","","","","198","81","4"
"matt forte","RB","25","16","0","0","0","0","0","237","1069","6","70","51","547","3","2","1","","218","80","10"
"michael turner","RB","28","16","0","0","0","0","0","334","1371","12","20","12","85","0","2","","","218","80","9"
"ray rice","RB","23","16","0","0","0","0","0","307","1220","5","83","63","556","1","","","","214","76","11"
"aaron rodgers","QB","27","15","312","475","3922","28","11","64","356","4","0","0","0","0","1","","","306","75","2"
"mike wallace","WR","24","16","0","0","0","0","0","5","39","0","98","60","1257","10","","","","190","72","5"
"calvin johnson","WR","25","15","0","0","0","0","0","4","32","0","137","77","1120","12","","1","","189","72","6"
"tom brady","QB","33","16","324","492","3900","36","4","31","30","1","0","0","0","0","1","","","301","70","3"
"ahmad bradshaw","RB","24","16","0","0","0","0","0","276","1235","8","58","47","314","0","6","1","","205","67","12"
"maurice jones-drew","RB","25","14","0","1","0","0","1","299","1324","5","44","34","317","2","2","","","204","66","13"
"steven jackson","RB","27","16","0","0","0","0","0","330","1241","6","62","46","383","0","1","","","198","60","14"
"jason witten","TE","28","16","0","0","0","0","0","0","0","0","128","94","1002","9","1","1","","156","60","1"
"philip rivers","QB","29","16","357","541","4710","30","13","29","52","0","0","0","0","0","4","","1","290","58","4"
"peyton manning","QB","34","16","450","679","4700","33","17","18","18","0","0","0","0","0","1","","","288","57","5"
"reggie wayne","WR","32","16","0","0","0","0","0","0","0","0","175","111","1355","6","1","","","172","54","7"
"hakeem nicks","WR","22","13","0","0","0","0","0","0","0","0","128","79","1052","11","","","","171","54","8"
"andre johnson","WR","29","13","0","0","0","0","0","2","10","0","138","86","1216","8","","","","171","53","9"
"steve johnson","WR","24","16","0","0","0","0","0","0","0","0","141","82","1073","10","1","","","167","50","10"
"benjarvus green-ellis","RB","25","16","0","0","0","0","0","229","1008","13","16","12","85","0","","","","187","49","15"
"mike williams","WR","23","16","0","0","0","0","0","0","0","0","129","65","964","11","2","","","162","45","11"
"miles austin","WR","26","16","0","0","0","0","0","7","93","1","119","69","1041","7","1","","","161","44","12"
"jeremy maclin","WR","22","16","0","0","0","0","0","3","36","0","115","70","964","10","1","","","160","43","13"
"drew brees","QB","31","16","448","658","4620","33","22","18","-3","0","1","1","7","0","2","","","273","42","6"
"antonio gates","TE","30","10","0","0","0","0","0","0","0","0","65","50","782","10","","","","138","42","2"
"cedric benson","RB","28","16","0","0","0","0","0","321","1111","7","37","28","178","1","5","1","","179","41","16"
"desean jackson","WR","24","14","0","0","0","0","0","16","104","1","95","47","1056","6","1","","","158","41","14"
"vernon davis","TE","26","16","0","0","0","0","0","0","0","0","93","56","914","7","","1","","135","39","3"
"terrell owens","WR","37","14","0","0","0","0","0","0","0","0","139","72","983","9","","","","152","35","15"
