ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
11.11,131.1,Cam Newton,QB,CAR,27,8.3,109,147,13
11.12,131.9,Mike Gesicki,TE,MIA,239,14.4,94,173,11
12.01,132.5,Tom Brady,QB,TB,745,21.1,77,181,13
12.02,133.7,Pittsburgh Defense,DEF,PIT,115,12.4,101,179,8
12.02,133.7,Duke Johnson,RB,HOU,36,29.1,97,180,8
12.03,134.6,J.K. Dobbins,RB,BAL,138,23.3,73,180,8
12.06,137.9,Corey Davis,WR,TEN,57,12.9,104,174,7
12.06,138.2,T.J. Hockenson,TE,DET,251,20.0,86,180,5
12.07,139.0,Tyler Higbee,TE,LAR,317,22.8,79,180,9
12.07,139.1,Damien Harris,RB,NE,35,17.5,109,185,6
12.08,140.2,Parris Campbell,WR,IND,51,15.7,111,178,7
12.09,140.8,Justin Tucker,PK,BAL,560,14.4,103,162,8
12.09,141.2,Sam Darnold,QB,NYJ,43,23.0,81,180,11
12.10,142.0,Chicago Defense,DEF,CHI,112,13.0,108,178,11
12.10,142.4,John Ross,WR,CIN,112,16.0,100,180,9
12.12,144.1,Jamison Crowder,WR,NYJ,108,14.5,106,180,11
13.01,144.7,Ben Roethlisberger,QB,PIT,239,13.8,108,178,8
13.01,145.3,Harrison Butker,PK,KC,478,11.7,114,181,10
13.03,146.6,Ke'Shawn Vaughn,RB,TB,49,23.8,84,180,13
13.06,150.2,Tarik Cohen,RB,CHI,27,24.2,89,178,11
13.06,150.3,Green Bay Defense,DEF,GB,65,15.8,109,181,5
13.07,150.8,Ryan Tannehill,QB,TEN,210,16.3,108,181,7
13.07,151.2,Henry Ruggs,WR,LV,111,21.9,94,180,6
13.07,151.5,Allen Lazard,WR,GB,35,24.3,97,180,5
13.08,151.7,Joe Burrow,QB,CIN,26,34.1,63,180,9
13.08,152.1,Greg Zuerlein,PK,DAL,154,13.0,118,180,10
13.08,152.2,Justin Jefferson,WR,MIN,19,19.2,120,180,7
13.09,152.7,Chase Edmonds,RB,ARI,203,17.0,108,180,8
13.09,152.9,Nyheim Hines,RB,IND,77,15.0,120,180,7
13.10,153.6,Baltimore Defense,DEF,BAL,447,17.0,109,180,8
13.10,154.1,Lamar Miller,RB,HOU,53,15.3,120,179,8
13.10,154.5,Eric Ebron,TE,PIT,119,23.5,93,181,8
13.11,154.7,Josh Gordon,WR,SEA,60,18.8,109,180,6
13.11,154.8,Philip Rivers,QB,IND,192,17.3,109,189,7
13.11,155.3,Drew Lock,QB,DEN,128,19.5,104,180,8
13.11,155.4,DeSean Jackson,WR,PHI,173,14.8,117,180,9
13.12,156.1,Jack Doyle,TE,IND,92,17.5,110,180,7
13.12,156.1,Zach Pascal,WR,IND,19,22.8,96,181,7
14.01,156.7,Jonnu Smith,TE,TEN,63,22.7,97,180,7
14.01,157.2,Arizona Defense,DEF,ARI,47,8.6,137,177,8
14.02,157.9,Will Dissly,TE,SEA,225,16.2,115,180,6
14.02,158.0,Larry Fitzgerald,WR,ARI,169,17.9,111,180,8
14.03,158.6,Justin Jackson,RB,LAC,104,18.7,110,180,10
14.04,159.7,Wil Lutz,PK,NO,139,8.2,138,180,6
14.04,159.9,Miles Boykin,WR,BAL,32,19.2,110,181,8
14.04,160.0,Jaylen Samuels,RB,PIT,57,17.6,114,180,8
14.04,160.2,Darwin Thompson,RB,KC,24,16.2,117,180,10
14.05,160.6,Adrian Peterson,RB,WAS,95,15.8,119,180,8
14.05,161.1,Benny Snell Jr.,RB,PIT,30,12.5,136,179,8
14.05,161.2,Hayden Hurst,TE,BAL,152,17.9,114,180,8
14.06,161.5,Randall Cobb,WR,HOU,26,18.5,113,180,8
14.06,161.7,LA Chargers Defense,DEF,LAC,107,12.5,129,182,10
14.06,161.7,Josh Reynolds,WR,LAR,18,14.4,135,180,9
14.06,161.8,Dallas Defense,DEF,DAL,58,11.8,136,179,10
14.06,162.1,Gus Edwards,RB,BAL,50,16.2,121,180,8
14.07,163.1,Breshad Perriman,WR,NYJ,40,18.6,121,192,11
14.08,163.7,Robbie Gould,PK,SF,79,9.0,140,180,11
14.08,163.8,Kenny Stills,WR,HOU,132,15.5,123,181,8
14.08,164.3,Ito Smith,RB,ATL,18,13.7,137,180,10
14.08,164.3,Matt Prater,PK,DET,31,10.1,138,177,5
14.10,166.0,Tampa Bay Defense,DEF,TB,48,11.9,134,180,13
14.10,166.5,Steven Hauschka,PK,BUF,22,7.7,146,180,11
14.11,166.8,Denver Defense,DEF,DEN,93,9.6,141,180,8
14.11,167.1,Dan Bailey,PK,MIN,42,6.1,159,180,7
14.12,167.6,Kansas City Defense,DEF,KC,68,11.7,137,180,10
15.01,169.0,Kaimi Fairbairn,PK,HOU,73,6.2,152,180,8
15.02,169.8,Malcolm Brown,RB,LAR,23,9.0,149,179,9
15.02,170.0,Minnesota Defense,DEF,MIN,25,10.3,148,180,7
15.04,171.5,Zane Gonzalez,PK,ARI,60,5.3,161,180,8
15.04,172.1,Younghoe Koo,PK,ATL,56,5.3,161,180,10
15.04,172.5,Mason Crosby,PK,GB,51,6.7,155,180,5
15.05,172.8,Jason Myers,PK,SEA,35,3.9,164,180,6
