"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"freddie martino","WR","25","13","0","0","0","0","0","0","0","0","11","8","142","1","0","","","20","","132"
"bobby rainey","RB","29","15","0","0","0","0","0","17","63","0","25","20","153","0","1","","","20","","95"
"kevin white","WR","24","4","0","0","0","0","0","1","9","0","36","19","187","0","0","","","20","","134"
"benny cunningham","RB","26","11","0","0","0","0","0","21","101","0","21","16","91","0","0","","","19","","96"
"ed dickson","TE","29","16","0","0","0","0","0","0","0","0","19","10","134","1","0","","","19","","56"
"josh huff","WR","25","10","0","1","0","0","0","4","15","0","23","16","113","1","0","","","19","","135"
"charone peake","WR","24","15","0","0","0","0","0","0","0","0","35","19","186","0","0","","","19","","136"
"jerell adams","TE","24","13","0","0","0","0","0","0","0","0","21","16","122","1","0","","","18","","57"
"arrelious benn","WR","28","15","0","0","0","0","0","0","0","0","10","5","116","1","0","","","18","","138"
"daniel brown","WR","24","8","0","0","0","0","0","0","0","0","20","16","124","1","0","","","18","","137"
"kadeem carey","RB","24","12","0","0","0","0","0","32","126","0","7","5","55","0","0","","","18","","97"
"andre ellington","RB","27","16","0","0","0","0","0","34","96","0","19","12","85","0","0","","","18","","98"
"tom savage","QB","26","3","46","73","461","0","0","6","12","0","0","0","0","0","1","","","18","","46"
"derek anderson","QB","33","5","36","53","453","2","5","1","4","0","0","0","0","0","1","","1","17","","48"
"reggie bush","RB","31","13","0","0","0","0","0","12","-3","1","10","7","90","0","0","1","","17","","99"
"marqueis gray","TE","27","16","0","0","0","0","0","0","0","0","17","14","174","0","0","","","17","","58"
"kevin hogan","QB","24","4","14","26","104","0","2","8","105","1","0","0","0","0","0","","","17","","47"
"denard robinson","RB","26","13","0","0","0","0","0","41","144","0","5","3","22","0","0","","","17","","100"
"brandon tate","WR","29","15","0","0","0","0","0","3","48","0","12","8","117","0","0","","","17","","139"
