#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.02,LeSean McCoy,RB,PHI,1.6,0.9,1.01,1.05,279
2,1.03,Adrian Peterson,RB,MIN,3.1,1.4,1.01,1.08,328
3,1.04,Jamaal Charles,RB,KC,3.5,1.3,1.01,1.07,382
4,1.04,Matt Forte,RB,CHI,4.2,1.5,1.02,1.08,139
5,1.05,Calvin Johnson,WR,DET,5.5,1.6,1.01,1.11,263
6,1.06,Peyton Manning,QB,DEN,6.3,3.2,1.01,2.05,225
7,1.08,Demaryius Thomas,WR,DEN,8.2,1.9,1.02,2.02,263
8,1.08,Jimmy Graham,TE,NO,8.2,2.1,1.01,2.05,303
9,1.09,Eddie Lacy,RB,GB,9.4,4,1.01,2.08,513
10,1.1,Montee Ball,RB,DEN,9.7,2.3,1.04,2.04,302
11,1.1,Marshawn Lynch,RB,SEA,9.8,2.7,1.01,2.08,318
12,1.12,Dez Bryant,WR,DAL,11.7,2.4,1.04,2.09,344
13,2.01,DeMarco Murray,RB,DAL,13.2,2.8,1.06,2.11,264
14,2.02,A.J. Green,WR,CIN,13.7,2.3,1.04,2.09,318
15,2.02,Drew Brees,QB,NO,13.9,5,1.01,3.02,317
16,2.03,Julio Jones,WR,ATL,15.1,2.2,1.05,2.1,291
17,2.05,Brandon Marshall,WR,CHI,17.1,2.4,1.1,2.11,342
18,2.06,Giovani Bernard,RB,CIN,17.6,3.1,1.09,3.01,296
19,2.06,Aaron Rodgers,QB,GB,18.5,4.1,1.01,3.11,345
20,2.07,Doug Martin,RB,TB,18.9,3,1.07,3.04,308
21,2.08,Jordy Nelson,WR,GB,20.3,2.6,2.01,3.03,323
22,2.1,Arian Foster,RB,HOU,22.1,4.8,1.06,3.09,244
23,2.1,Antonio Brown,WR,PIT,22.3,3,2.01,3.08,259
24,2.12,Alfred Morris,RB,WAS,24.2,4.1,2.02,3.1,268
25,3.01,Andre Ellington,RB,ARI,24.9,3.9,2.01,4.09,285
26,3.01,Alshon Jeffery,WR,CHI,25.3,3,2.05,3.12,316
