#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,LaDainian Tomlinson,RB,LAC,1.4,0.7,1.01,1.05,813
2,1.02,Adrian Peterson,RB,MIN,2.4,0.7,1.01,1.06,417
3,1.03,Brian Westbrook,RB,PHI,2.8,0.7,1.01,1.09,405
4,1.05,Joseph Addai,RB,IND,4.7,1.1,1.01,1.08,559
5,1.05,Steven Jackson,RB,LAR,5.2,1.4,1.01,1.11,658
6,1.06,Tom Brady,QB,NE,5.7,2.3,1.01,2.02,608
7,1.07,Marion Barber,RB,DAL,6.8,1.8,1.01,2.02,785
8,1.08,Randy Moss,WR,NE,8.4,2,1.01,2.04,668
9,1.09,Frank Gore,RB,SF,9.3,2.1,1.03,2.05,596
10,1.1,Clinton Portis,RB,WAS,10.2,2.3,1.04,2.06,592
11,1.12,Marshawn Lynch,RB,None,11.7,2.5,1.05,2.08,737
12,1.12,Terrell Owens,WR,DAL,11.7,2.2,1.02,2.07,645
13,2.02,Reggie Wayne,WR,IND,14.1,2.4,1.02,2.1,612
14,2.03,Peyton Manning,QB,IND,14.7,3.7,1.01,3.01,452
15,2.04,Braylon Edwards,WR,CLE,16.3,2.8,1.07,3.03,547
16,2.05,Larry Johnson,RB,KC,16.6,3.4,1.01,3.07,461
17,2.06,Tony Romo,QB,DAL,18.2,4.6,1.04,3.09,734
18,2.07,Andre Johnson,WR,HOU,18.7,3,1.11,3.07,425
19,2.07,Larry Fitzgerald,WR,ARI,18.9,2.9,1.11,3.04,611
20,2.08,Ryan Grant,RB,GB,19.6,3.9,1.07,3.09,495
21,2.08,Marques Colston,WR,NO,20.4,3.5,1.12,3.07,762
22,2.09,Maurice Jones-Drew,RB,JAX,21.5,4.5,1.03,3.11,621
23,2.12,Drew Brees,QB,NO,24.4,4.8,1.05,4.08,674
24,3.01,T.J. Houshmandzadeh,WR,CIN,24.6,3.4,1.02,4.02,484
25,3.03,Jamal Lewis,RB,CLE,26.6,5.1,1.12,4.03,586
26,3.04,Chad Johnson,WR,CIN,28.3,4.2,2.05,4.05,178
27,3.04,Willis McGahee,RB,BAL,28.4,6.6,2.01,7.09,258
28,3.05,Plaxico Burress,WR,NYG,28.6,4.3,2.03,4.06,516
29,3.06,Steve Smith,WR,CAR,30.2,4.7,2.08,4.1,489
30,3.07,Reggie Bush,RB,NO,30.9,6.4,1.1,5.02,491
31,3.08,Torry Holt,WR,LAR,31.5,5,2.08,4.11,381
32,3.1,Wes Welker,WR,NE,33.6,5.6,2.07,5.07,424
33,3.1,Brandon Jacobs,RB,NYG,34,5.9,2.01,5.06,500
34,3.11,Thomas Jones,RB,NYJ,34.9,5.8,2.03,5.08,674
