#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.02,Arian Foster,RB,HOU,2,1,1.01,1.05,160
2,1.02,Aaron Rodgers,QB,GB,2.1,1.4,1.01,1.07,108
3,1.02,Ray Rice,RB,BAL,2.3,1,1.01,1.05,105
4,1.05,Tom Brady,QB,NE,4.6,1.9,1.01,1.09,94
5,1.05,LeSean McCoy,RB,PHI,5.3,1.9,1.01,1.11,184
6,1.06,Calvin Johnson,WR,DET,5.9,1.6,1.02,1.11,80
7,1.06,Darren McFadden,RB,LV,6.4,1.6,1.03,1.1,85
8,1.07,Drew Brees,QB,NO,7.3,1.8,1.02,1.11,128
9,1.09,Chris Johnson,RB,TEN,8.9,2,1.02,2.02,141
10,1.1,Matt Forte,RB,CHI,10.3,2,1.03,2.04,87
11,1.12,DeMarco Murray,RB,DAL,11.7,2.1,1.04,2.08,94
12,1.12,Matthew Stafford,QB,DET,12,2.8,1.05,2.09,93
13,2.01,Jimmy Graham,TE,NO,13.3,3.1,1.06,2.11,74
14,2.03,Julio Jones,WR,ATL,14.9,3.4,1.04,3.02,116
15,2.03,Maurice Jones-Drew,RB,JAX,14.9,3.8,1.03,3.03,125
16,2.04,Marshawn Lynch,RB,SEA,15.6,3.5,1.1,3.11,77
17,2.04,Cam Newton,QB,CAR,16.5,4.7,1.01,3.03,109
18,2.06,Jamaal Charles,RB,KC,17.7,3.8,1.11,3.12,100
19,2.06,Adrian Peterson,RB,MIN,18.4,3.5,1.12,4.01,117
20,2.08,Rob Gronkowski,TE,NE,19.7,3.5,1.1,3.04,114
21,2.08,Fred Jackson,RB,None,20.1,4.4,1.09,4.07,119
22,2.08,Ryan Mathews,RB,LAC,20.4,4.3,1.11,3.07,107
23,2.1,Steven Jackson,RB,ATL,21.5,4.3,1.08,3.1,125
24,2.11,Larry Fitzgerald,WR,ARI,22.5,4.6,1.1,3.09,144
25,2.12,Brandon Marshall,WR,CHI,24.4,4.2,2.01,3.09,120
26,3.01,Doug Martin,RB,TB,25.4,4,2.01,3.1,91
27,3.02,A.J. Green,WR,CIN,26.2,4.3,2.01,4.03,100
28,3.03,Andre Johnson,WR,HOU,27.2,4.4,1.12,3.12,103
29,3.04,Greg Jennings,WR,MIN,28.2,3.9,2.01,4.04,110
30,3.05,Trent Richardson,RB,CLE,28.5,4.5,2.01,4.02,118
31,3.06,Roddy White,WR,ATL,30.3,4.8,1.12,4.04,107
32,3.06,Darren Sproles,RB,NO,30.3,4.7,2.05,4.05,98
33,3.07,Wes Welker,WR,DEN,31.1,6.6,1.05,4.07,107
34,3.08,Victor Cruz,WR,NYG,32.5,4.2,2.03,4.08,103
35,3.09,Michael Turner,RB,FA,33,6.8,2.06,6.04,99
36,3.1,Matt Ryan,QB,ATL,34.2,7.2,2.02,4.1,85
37,3.11,Jordy Nelson,WR,GB,34.7,4.9,2.06,5.11,103
38,4.02,Ahmad Bradshaw,RB,FA,37.7,5.5,3.01,4.12,100
39,4.02,Hakeem Nicks,WR,NYG,37.9,4.4,3.01,5.04,107
40,4.03,Dez Bryant,WR,DAL,39.5,4.6,2.07,5.03,81
41,4.04,Percy Harvin,WR,SEA,40.4,4.2,3.02,5.02,89
42,4.05,Frank Gore,RB,SF,41.3,6.7,2.12,6.07,106
43,4.06,Aaron Hernandez,TE,NE,41.9,8.4,2.06,6.07,85
44,4.06,Willis McGahee,RB,DEN,42.5,5.5,2.12,5.04,91
45,4.07,Antonio Brown,WR,PIT,43.3,4.7,3.07,5.1,100
46,4.08,Michael Vick,QB,PHI,44.5,11,1.05,6.09,119
