#,Pick,Name,Pos,Team,Overall,Std.,High,Low,Times
87,8.01,Fred Taylor,RB,NE,84.6,0,0.12,0.12,391
88,8.04,Terry Glenn,WR,FA,87.5,0,0.12,0.12,182
89,8.04,Vince Young,QB,FA,88.5,0,0.12,0.12,397
90,8.06,Matt Leinart,QB,LV,89.5,0,0.12,0.12,390
91,8.06,Santonio Holmes,WR,FA,89.9,0,0.12,0.12,516
92,8.08,New England Defense,DEF,NE,91.5,0,0.12,0.12,227
93,8.09,Alge Crumpler,TE,NE,93.2,0,0.12,0.12,225
94,8.09,Devery Henderson,WR,FA,93.3,0,0.12,0.12,323
95,8.09,Deshaun Foster,RB,SF,93.4,0,0.12,0.12,375
96,8.1,Kevin Jones,RB,CHI,93.8,0,0.12,0.12,95
97,8.11,LA Chargers Defense,DEF,LAC,94.7,0,0.12,0.12,206
98,8.12,Michael Turner,RB,FA,96.2,0,0.12,0.12,126
99,9.01,LenDale White,RB,DEN,97,0,0.12,0.12,305
100,9.01,Greg Jennings,WR,MIA,97.1,0,0.12,0.12,236
101,9.02,Jason Witten,TE,LV,97.9,0,0.12,0.12,235
102,9.02,D.J. Hackett,WR,WAS,98.2,0,0.12,0.12,297
103,9.02,Jay Cutler,QB,MIA,98.5,0,0.12,0.12,251
104,9.04,Kevin Curtis,WR,PHI,100.1,0,0.12,0.12,354
105,9.06,Warrick Dunn,RB,TB,101.8,0,0.12,0.12,272
106,9.11,Eli Manning,QB,NYG,107.5,0,0.12,0.12,296
107,9.12,Jerry Porter,WR,JAX,107.6,0,0.12,0.12,275
108,9.12,Joe Horn,WR,FA,108.1,0,0.12,0.12,160
109,10.01,Drew Bennett,WR,LAR,109,0,0.12,0.12,238
110,10.02,Ben Roethlisberger,QB,PIT,109.5,0,0.12,0.12,402
111,10.02,Denver Defense,DEF,DEN,110.5,0,0.12,0.12,158
112,10.03,Vernand Morency,RB,FA,110.7,0,0.12,0.12,119
113,10.03,Chris Brown,RB,HOU,111.1,0,0.12,0.12,186
114,10.04,L.J. Smith,TE,BAL,111.7,0,0.12,0.12,168
115,10.07,Isaac Bruce,WR,SF,114.8,0,0.12,0.12,283
116,10.08,Muhsin Muhammad,WR,CAR,115.8,0,0.12,0.12,188
117,10.08,Matt Jones,WR,CIN,116,0,0.12,0.12,97
118,10.09,Brandon Marshall,WR,NO,116.9,0,0.12,0.12,309
119,10.09,Miami Defense,DEF,MIA,117,0,0.12,0.12,87
120,10.11,Reuben Droughns,RB,NYG,118.7,0,0.12,0.12,113
121,10.11,Brett Favre,QB,MIN,119.4,0,0.12,0.12,255
122,10.12,Mike Bell,RB,CLE,120.1,0,0.12,0.12,168
123,11.02,Adam Vinatieri,PK,IND,122.1,0,0.12,0.12,296
124,11.03,Randy McMichael,TE,LAC,122.6,0,0.12,0.12,286
125,11.04,Jacksonville Defense,DEF,JAX,124.4,0,0.12,0.12,219
126,11.05,Anthony Gonzalez,WR,FA,125.2,0,0.12,0.12,272
127,11.05,Jake Delhomme,QB,HOU,125.4,0,0.12,0.12,137
128,11.06,Mike Furrey,WR,WAS,126.4,0,0.12,0.12,217
129,11.07,Benjamin Watson,TE,NE,127.2,0,0.12,0.12,361
130,11.08,Ronald Curry,WR,LV,128.1,0,0.12,0.12,304
131,11.08,Leon Washington,RB,TEN,128.3,0,0.12,0.12,414
132,11.08,DeDe Dorsey,RB,DET,128.3,0,0.12,0.12,21
133,11.09,Brandon Jones,WR,FA,128.5,0,0.12,0.12,167
134,11.09,Priest Holmes,RB,FA,128.7,0,0.12,0.12,28
135,11.09,Chris Henry,RB,CIN,129.4,0,0.12,0.12,95
136,11.1,Pittsburgh Defense,DEF,PIT,129.9,0,0.12,0.12,262
137,11.1,Alex Smith,QB,WAS,130.4,0,0.12,0.12,323
138,12.01,Derrick Mason,WR,NYJ,132.5,0,0.12,0.12,138
139,12.01,Adrian Peterson,RB,FA,132.6,0,0.12,0.12,217
140,12.01,Philadelphia Defense,DEF,PHI,132.9,0,0.12,0.12,158
141,12.03,J.P. Losman,QB,None,134.6,0,0.12,0.12,216
142,12.03,Jeff Wilkins,PK,FA,135.1,0,0.12,0.12,149
143,12.06,Dominic Rhodes,RB,None,138.1,0,0.12,0.12,255
144,12.06,James Jones,WR,LV,138.1,0,0.12,0.12,254
145,12.07,Dwayne Jarrett,WR,CAR,138.9,0,0.12,0.12,88
146,12.07,Matt Schaub,QB,ATL,139.2,0,0.12,0.12,292
147,12.08,Eddie Kennison,WR,FA,140,0,0.12,0.12,103
148,12.09,Shayne Graham,PK,FA,140.8,0,0.12,0.12,98
149,12.09,Nate Kaeding,PK,LAC,141,0,0.12,0.12,180
150,12.09,Heath Miller,TE,PIT,141.4,0,0.12,0.12,351
151,12.11,Wes Welker,WR,DEN,143.2,0,0.12,0.12,191
152,12.12,Ted Ginn Jr,WR,CHI,144.1,0,0.12,0.12,122
153,13.01,Dallas Defense,DEF,DAL,145.3,0,0.12,0.12,322
154,13.02,Kevin Faulk,RB,NE,146.1,0,0.12,0.12,17
155,13.02,Troy Williamson,WR,JAX,146.2,0,0.12,0.12,144
156,13.03,Chad Pennington,QB,MIA,146.6,0,0.12,0.12,83
157,13.03,Dwayne Bowe,WR,CLE,146.7,0,0.12,0.12,71
158,13.03,Dallas Clark,TE,TB,146.9,0,0.12,0.12,250
159,13.03,Rex Grossman,QB,FA,147.1,0,0.12,0.12,160
160,13.04,Robbie Gould,PK,SF,147.6,0,0.12,0.12,153
161,13.04,Bobby Wade,WR,KC,147.9,0,0.12,0.12,32
162,13.06,Trent Green,QB,LAR,150.2,0,0.12,0.12,61
163,13.06,Michael Bush,RB,FA,150.5,0,0.12,0.12,57
164,13.07,Jeff Garcia,QB,LV,150.7,0,0.12,0.12,92
165,13.07,Owen Daniels,TE,DEN,150.9,0,0.12,0.12,183
166,13.07,Jacoby Jones,WR,BAL,151.3,0,0.12,0.12,171
