#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,Adrian Peterson,RB,MIN,1.3,0.6,1.01,1.04,529
2,1.03,Maurice Jones-Drew,RB,JAX,2.6,1,1.01,1.08,292
3,1.03,Michael Turner,RB,ATL,2.9,1.1,1.01,1.08,218
4,1.04,Matt Forte,RB,CHI,3.8,1.2,1.01,1.09,512
5,1.06,Larry Fitzgerald,WR,ARI,6.1,1.9,1.01,2.01,274
6,1.06,DeAngelo Williams,RB,CAR,6.3,1.8,1.01,2.01,407
7,1.08,LaDainian Tomlinson,RB,LAC,7.8,2.3,1.01,2.06,439
8,1.08,Randy Moss,WR,NE,8.2,2.1,1.01,2.06,532
9,1.09,Steven Jackson,RB,LAR,9.2,2.5,1.03,2.05,413
10,1.1,Andre Johnson,WR,HOU,9.8,2.4,1.01,2.06,546
11,1.11,Drew Brees,QB,NO,11.2,4.4,1.01,2.08,400
12,1.12,Calvin Johnson,WR,DET,12.3,2.4,1.06,2.08,408
13,2.01,Chris Johnson,RB,TEN,13,3.3,1.05,2.1,484
14,2.02,Steve Slaton,RB,HOU,13.7,3.2,1.03,2.11,492
15,2.02,Tom Brady,QB,NE,14.3,4.4,1.01,2.12,442
16,2.04,Frank Gore,RB,SF,15.5,3.2,1.05,3.01,539
17,2.05,Reggie Wayne,WR,IND,17.2,3.2,1.1,3.04,472
18,2.06,Brandon Jacobs,RB,NYG,17.7,3.6,1.02,3.06,460
19,2.07,Greg Jennings,WR,GB,18.8,3.2,1.1,3.03,485
20,2.08,Brian Westbrook,RB,PHI,19.6,3.9,1.06,3.07,424
21,2.09,Steve Smith,WR,CAR,21.4,3.8,1.08,3.1,402
22,2.1,Roddy White,WR,ATL,22.3,3.7,1.12,3.09,410
23,2.12,Peyton Manning,QB,IND,24,5,1.01,4.03,405
24,3.01,Marques Colston,WR,NO,24.6,3.1,2.03,3.1,382
25,3.02,Anquan Boldin,WR,ARI,25.7,3.7,2.01,3.11,420
26,3.03,Aaron Rodgers,QB,GB,26.9,6,1.05,4.05,396
27,3.03,Clinton Portis,RB,WAS,27,4.9,1.08,4.05,412
28,3.04,Marion Barber,RB,DAL,28,4.8,1.08,4.06,444
29,3.06,Ryan Grant,RB,GB,29.6,4.5,1.02,4.06,477
30,3.07,Wes Welker,WR,NE,31,4.4,2.04,4.09,379
31,3.09,Pierre Thomas,RB,NO,32.8,4.9,2.02,4.11,332
32,3.09,Ronnie Brown,RB,MIA,33,4.7,2.06,5.05,421
33,3.11,Kevin Smith,RB,DET,34.5,5,2.09,5.02,459
34,3.11,Terrell Owens,WR,None,34.5,5,2.07,4.1,292
35,3.11,T.J. Houshmandzadeh,WR,SEA,34.6,5.1,2.06,5.05,452
36,3.11,Philip Rivers,QB,LAC,35.2,7,2.05,5.08,368
37,4.01,Dwayne Bowe,WR,KC,37.5,5,1.1,5.03,414
38,4.03,Chad Johnson,WR,CIN,38.7,4.7,2.12,5.03,462
39,4.04,Vincent Jackson,WR,LAC,39.5,5,3.03,5.1,389
40,4.05,Ray Rice,RB,BAL,40.6,6.1,2.11,5.12,460
41,4.06,Jason Witten,TE,DAL,42,5.6,2.08,5.09,306
42,4.06,Darren McFadden,RB,LV,42.4,6.2,2.06,5.11,383
43,4.09,DeSean Jackson,WR,PHI,45.1,6.2,3.02,6.01,345
44,4.09,Roy Williams,WR,DAL,45.2,5.5,3.05,6.01,322
45,4.1,Kurt Warner,QB,ARI,45.7,9.2,2.1,7.01,272
46,4.11,Anthony Gonzalez,WR,IND,46.9,5.7,3.02,6.03,403
47,4.11,Antonio Gates,TE,LAC,47.1,6.8,1.08,6.07,252
48,5.01,Tony Romo,QB,DAL,49.4,8,2.12,6.12,350
49,5.02,Tony Gonzalez,TE,ATL,49.7,6.8,2.1,6.08,218
50,5.02,Marshawn Lynch,RB,None,49.9,7.8,3.05,6.08,343
51,5.02,Braylon Edwards,WR,NYJ,50.2,6.3,3.09,6.1,425
52,5.04,Joseph Addai,RB,IND,52,8.8,3.08,7.03,468
53,5.05,Eddie Royal,WR,DEN,53,6.6,3.08,7.04,401
54,5.06,Dallas Clark,TE,IND,54.1,6.4,4.01,7.01,301
55,5.06,Brandon Marshall,WR,DEN,54.3,7.6,3.09,7.07,459
56,5.06,Reggie Bush,RB,NO,54.4,9.9,3.05,7.12,346
57,5.07,Larry Johnson,RB,CIN,55.3,9.1,3.07,7.08,376
58,5.09,Donovan McNabb,QB,PHI,57.1,7.8,2.11,7.1,361
59,5.11,Thomas Jones,RB,NYJ,58.7,10.1,2.12,7.08,407
60,5.12,Bernard Berrian,WR,MIN,59.5,6.7,4.02,7.1,361
