"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.02,"adrian peterson","RB","MIN",1.7,1,1.01,1.08,269,1
1.03,"leveon bell","RB","PIT",3.1,1.5,1.01,1.07,255,2
1.03,"eddie lacy","RB","GB",3.2,1.3,1.01,1.07,301,3
1.04,"jamaal charles","RB","KC",3.7,1.5,1.01,1.08,304,4
1.05,"marshawn lynch","RB","SEA",5.2,1.4,1.01,1.1,307,5
1.06,"antonio brown","WR","PIT",6.4,2.9,1.01,2.08,370,1
1.08,"c.j. anderson","RB","DEN",7.8,1.9,1.03,2.04,288,6
1.09,"dez bryant","WR","DAL",8.8,1.9,1.02,2.03,312,2
1.09,"julio jones","WR","ATL",9.1,2.4,1.01,2.05,287,3
1.09,"jeremy hill","RB","CIN",9.4,2.2,1.04,2.04,366,7
1.1,"andrew luck","QB","IND",9.8,5.2,1.01,2.12,244,1
1.12,"demaryius thomas","WR","DEN",11.8,2.1,1.06,2.07,345,4
1.12,"rob gronkowski","TE","NE",11.9,3.6,1.02,2.09,357,1
2.01,"demarco murray","RB","PHI",13.3,2.9,1.05,2.09,362,8
2.02,"odell beckham","WR","NYG",14.5,2.7,1.05,2.11,411,5
2.03,"matt forte","RB","CHI",14.8,3.2,1.06,2.11,399,9
2.04,"calvin johnson","WR","DET",16.1,2.5,1.02,2.1,435,6
2.07,"randall cobb","WR","GB",18.7,2.4,1.12,3.01,324,7
2.07,"a.j. green","WR","CIN",19.2,2.4,1.12,3.02,348,8
2.07,"lesean mccoy","RB","BUF",19.2,3.5,1.03,3.05,309,10
2.09,"justin forsett","RB","BAL",20.6,3.5,1.09,3.07,283,11
2.09,"aaron rodgers","QB","GB",21.4,5,1.01,4.03,286,2
2.09,"lamar miller","RB","MIA",21.5,3.4,1.11,3.07,303,12
2.12,"t.y. hilton","WR","IND",23.9,2.8,2.03,3.07,292,9
3.01,"brandin cooks","WR","NO",24.6,3.3,2.01,3.1,299,10
3.03,"frank gore","RB","IND",26.7,3.6,2.02,3.11,303,13
3.04,"jordan matthews","WR","PHI",27.5,3.2,2.04,4.04,294,11
3.04,"alshon jeffery","WR","CHI",28.2,3.8,1.02,4.03,274,12
3.05,"mark ingram","RB","NO",28.6,3.6,2.03,3.12,309,14
3.07,"mike evans","WR","TB",30.6,3.8,2.09,4.05,292,13
3.07,"latavius murray","RB","LV",31,3.2,2.05,4.06,306,15
3.08,"deandre hopkins","WR","HOU",31.9,4.1,1.05,4.1,302,14
3.08,"jimmy graham","TE","SEA",32.2,5.2,2.01,4.09,229,2
3.1,"alfred morris","RB","WAS",34.2,4.3,2.08,4.11,291,16
3.11,"davante adams","WR","GB",35.1,4.1,2.03,4.11,258,15
3.12,"emmanuel sanders","WR","DEN",36,5.1,2.11,4.11,282,16
3.12,"doug martin","RB","TB",36.1,4.7,2.02,5.04,318,17
3.12,"carlos hyde","RB","SF",36.3,4.5,2.11,4.11,275,18
4.02,"arian foster","RB","HOU",37.6,4.7,2.09,5.04,368,19
4.03,"andre johnson","WR","IND",39.2,4.3,2.12,5.01,286,17
4.04,"melvin gordon","RB","LAC",40.2,5,2.08,5.08,290,20
4.06,"chris ivory","RB","NYJ",41.6,5.3,2.09,5.11,327,21
4.06,"jeremy maclin","WR","KC",41.9,3.9,3.03,5.05,280,18
4.07,"amari cooper","WR","LV",43,4.2,3.03,5.08,304,19
4.07,"peyton manning","QB","DEN",43.3,11.6,1.03,6.1,195,3
4.08,"ameer abdullah","RB","DET",44,6,2.11,5.1,292,22
4.09,"golden tate","WR","DET",45.2,4.6,2.05,5.07,255,20
4.1,"jonathan stewart","RB","CAR",46,6.4,3.04,6.01,326,23
4.11,"joseph randle","RB","DAL",47.5,6.1,3.05,6.03,225,24
5.01,"jarvis landry","WR","MIA",48.8,5.1,3.12,6.11,271,21
5.02,"brandon marshall","WR","NYJ",50.4,7.2,1.01,6.07,252,22
5.03,"drew brees","QB","NO",50.8,9.5,2.11,7.04,185,4
5.03,"andre ellington","RB","ARI",50.8,6.5,3.03,6.06,328,25
5.03,"greg olsen","TE","CAR",51,5.4,4.01,6.05,223,3
