"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.02,"arian foster","RB","HOU",2,1,1.01,1.05,160,1
1.02,"aaron rodgers","QB","GB",2.1,1.4,1.01,1.07,108,1
1.02,"ray rice","RB","BAL",2.3,1,1.01,1.05,105,2
1.05,"tom brady","QB","NE",4.6,1.9,1.01,1.09,94,2
1.05,"lesean mccoy","RB","PHI",5.3,1.9,1.01,1.11,184,3
1.06,"calvin johnson","WR","DET",5.9,1.6,1.02,1.11,80,1
1.06,"darren mcfadden","RB","LV",6.4,1.6,1.03,1.1,85,4
1.07,"drew brees","QB","NO",7.3,1.8,1.02,1.11,128,3
1.09,"chris johnson","RB","TEN",8.9,2,1.02,2.02,141,5
1.1,"matt forte","RB","CHI",10.3,2,1.03,2.04,87,6
1.12,"demarco murray","RB","DAL",11.7,2.1,1.04,2.08,94,7
1.12,"matthew stafford","QB","DET",12,2.8,1.05,2.09,93,4
2.01,"jimmy graham","TE","NO",13.3,3.1,1.06,2.11,74,1
2.03,"julio jones","WR","ATL",14.9,3.4,1.04,3.02,116,2
2.03,"maurice jones-drew","RB","JAX",14.9,3.8,1.03,3.03,125,8
2.04,"marshawn lynch","RB","SEA",15.6,3.5,1.1,3.11,77,9
2.04,"cam newton","QB","CAR",16.5,4.7,1.01,3.03,109,5
2.06,"jamaal charles","RB","KC",17.7,3.8,1.11,3.12,100,10
2.06,"adrian peterson","RB","MIN",18.4,3.5,1.12,4.01,117,11
2.08,"rob gronkowski","TE","NE",19.7,3.5,1.1,3.04,114,2
2.08,"fred jackson","RB","None",20.1,4.4,1.09,4.07,119,12
2.08,"ryan mathews","RB","LAC",20.4,4.3,1.11,3.07,107,13
2.1,"steven jackson","RB","ATL",21.5,4.3,1.08,3.1,125,14
2.11,"larry fitzgerald","WR","ARI",22.5,4.6,1.1,3.09,144,3
2.12,"brandon marshall","WR","CHI",24.4,4.2,2.01,3.09,120,4
3.01,"doug martin","RB","TB",25.4,4,2.01,3.1,91,15
3.02,"a.j. green","WR","CIN",26.2,4.3,2.01,4.03,100,5
3.03,"andre johnson","WR","HOU",27.2,4.4,1.12,3.12,103,6
3.04,"greg jennings","WR","MIN",28.2,3.9,2.01,4.04,110,7
3.05,"trent richardson","RB","CLE",28.5,4.5,2.01,4.02,118,16
3.06,"roddy white","WR","ATL",30.3,4.8,1.12,4.04,107,8
3.06,"darren sproles","RB","NO",30.3,4.7,2.05,4.05,98,17
3.07,"wes welker","WR","DEN",31.1,6.6,1.05,4.07,107,9
3.08,"victor cruz","WR","NYG",32.5,4.2,2.03,4.08,103,10
3.09,"michael turner","RB","FA",33,6.8,2.06,6.04,99,18
3.1,"matt ryan","QB","ATL",34.2,7.2,2.02,4.1,85,6
