#,Pick,Name,Pos,Team,Overall,Std. Def,High,Low,Times Drafted
81,7.07,Sony Michel,RB,NE,79.4,8.7,5.02,9.04,580
82,7.09,Carson Wentz,QB,PHI,81.4,9.9,4.09,9.1,277
83,7.1,Sammy Watkins,WR,KC,81.7,7.4,5.1,9.05,451
84,7.1,Kirk Cousins,QB,MIN,82.1,9.1,4.11,10.02,347
85,7.11,Delanie Walker,TE,TEN,83.3,8,6.03,10.04,342
86,7.12,Marlon Mack,RB,IND,84.3,8.9,4.09,9.08,476
87,8.02,Andrew Luck,QB,IND,86.5,9.9,3.01,10.06,374
88,8.03,Adrian Peterson,RB,WAS,86.7,11.9,4.04,11.09,786
89,8.03,Aaron Jones,RB,GB,87.5,7.4,6.01,9.11,429
90,8.04,Ronald Jones II,RB,TB,87.5,10.4,4.08,10.02,246
91,8.04,Jordy Nelson,WR,LV,87.7,8.5,5.1,9.09,343
92,8.04,Robby Anderson,WR,NYJ,87.8,8.5,4.01,10.04,547
93,8.05,Devin Funchess,WR,CAR,88.6,8.9,5.1,10.04,495
94,8.07,Chris Thompson,RB,WAS,90.7,8.6,5.04,10.02,372
95,8.08,Jacksonville Defense,DEF,JAX,91.7,8.4,4.11,9.1,540
96,8.09,Cooper Kupp,WR,LAR,92.6,8.6,5.09,10.04,483
97,8.1,Jordan Reed,TE,WAS,94.3,11.6,6.05,12.03,385
98,8.12,Tarik Cohen,RB,CHI,95.6,8.8,5.04,10.11,252
99,8.12,Matthew Stafford,QB,DET,95.9,10.7,4.02,11.02,465
100,9.02,Jimmy Garoppolo,QB,SF,97.7,11.2,3.05,11.01,358
101,9.02,Nelson Agholor,WR,PHI,98.2,9.3,4.04,10.12,482
102,9.03,Randall Cobb,WR,GB,98.6,8.6,6.03,10.1,310
103,9.04,Mike Williams,WR,LAC,99.8,7.9,6.03,10.09,475
104,9.05,LA Rams Defense,DEF,LAR,101.3,7.6,7.02,11.02,297
105,9.06,David Njoku,TE,CLE,102.5,13.3,5.01,12.11,434
106,9.07,LeGarrette Blount,RB,DET,103.1,11.1,5.1,11.06,205
107,9.08,Kelvin Benjamin,WR,KC,104.4,8.7,6.09,11.04,282
108,9.08,Philip Rivers,QB,LAC,104.4,9.2,7.01,11.07,558
109,9.11,Robert Woods,WR,LAR,107,9.7,6.07,11.05,316
110,9.12,CJ Anderson,RB,LAR,108,10.8,6.03,12.1,211
111,9.12,Jamison Crowder,WR,WAS,108.4,8.1,7.08,11.07,376
112,9.12,Minnesota Defense,DEF,MIN,108.4,13.3,1.01,12.03,254
113,10.02,Kenny Stills,WR,MIA,109.6,9.7,6.12,12.01,516
114,10.02,Matt Ryan,QB,ATL,109.7,10.4,6.11,11.1,515
115,10.02,Latavius Murray,RB,MIN,110,11.5,6.02,12.06,337
116,10.03,Nick Chubb,RB,CLE,111.3,10.7,7.01,12.06,277
117,10.04,Ben Roethlisberger,QB,PIT,112.5,11.6,2.09,12.02,467
118,10.08,Pat Mahomes,QB,KC,115.8,10,6.09,12.1,496
119,10.08,Corey Clement,RB,PHI,116.4,11.4,7.01,12.11,337
120,10.08,Pierre Garcon,WR,SF,116.5,9,7.1,12.04,297
121,10.09,Philadelphia Defense,DEF,PHI,117.2,8.1,7.11,12.08,197
122,10.1,Sterling Shepard,WR,NYG,118.2,10.2,6.03,12.09,385
123,10.11,D.J. Moore,WR,CAR,119.4,9.5,6.1,12.06,253
124,11.01,Calvin Ridley,WR,ATL,121,9.6,7.03,12.08,245
125,11.01,James White,RB,NE,121.1,13.8,3.11,12.12,366
126,11.02,LA Chargers Defense,DEF,LAC,122.2,8.8,8.05,14.04,198
127,11.05,Kenny Golladay,WR,DET,124.5,10.7,6.06,12.12,294
128,11.05,Allen Hurns,WR,DAL,125,10.3,7.03,13.01,267
129,11.05,Jared Goff,QB,LAR,125.2,10.1,6.1,13.07,323
130,11.07,John Brown,WR,BAL,126.7,10.3,7.08,13.02,282
131,11.07,Ty Montgomery,RB,BAL,127.5,14,7.03,15.02,211
132,11.08,Alfred Morris,RB,SF,127.6,31.9,3.01,17.03,427
133,11.08,Houston Defense,DEF,HOU,128.4,7.5,9.1,13.04,173
134,11.09,George Kittle,TE,SF,128.7,15.9,6.12,15.02,572
135,11.09,Duke Johnson,RB,CLE,129,13.6,5.1,15.08,328
136,11.1,Baltimore Defense,DEF,BAL,129.9,8.8,9.04,13.07,157
137,11.12,Michael Gallup,WR,DAL,132,9.4,9.03,14.12,274
138,12.01,Cameron Meredith,WR,NO,132.5,10.6,7.08,14.06,180
139,12.01,Marcus Mariota,QB,TEN,133.5,9.9,8.08,14.05,213
140,12.02,Jack Doyle,TE,IND,133.7,19,4.12,15.05,561
141,12.03,Alex Smith,QB,WAS,134.8,10.6,8.12,14.08,236
142,12.03,Keelan Cole,WR,JAX,135,15.3,6.03,15.1,445
143,12.03,Bilal Powell,RB,NYJ,135.4,15.7,7.1,15.11,502
144,12.05,Tyler Lockett,WR,SEA,136.9,11.5,8.09,14.08,242
