#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.01,Adrian Peterson,RB,MIN,1.5,0.8,1.01,1.04,135
2,1.02,Ray Rice,RB,BAL,2.3,1.1,1.01,1.06,67
3,1.03,Arian Foster,RB,HOU,2.9,1.7,1.01,1.08,27
4,1.04,Chris Johnson,RB,TEN,3.9,1.6,1.01,1.12,136
5,1.05,Jamaal Charles,RB,KC,5.1,2.6,1.01,3.03,106
6,1.05,Michael Vick,QB,PHI,5.5,2.5,1.01,2.06,73
7,1.07,Andre Johnson,WR,HOU,7.1,2.2,1.01,2.01,89
8,1.08,LeSean McCoy,RB,PHI,7.9,2.3,1.01,2.06,126
9,1.09,Rashard Mendenhall,RB,PIT,8.9,2.2,1.04,2.02,106
10,1.09,Aaron Rodgers,QB,GB,9.3,3.6,1.01,2.07,123
11,1.11,Calvin Johnson,WR,DET,10.8,2.9,1.06,3.01,92
12,2.01,Roddy White,WR,ATL,12.9,2.6,1.06,2.07,99
13,2.01,Maurice Jones-Drew,RB,JAX,13.4,3.3,1.08,2.1,91
14,2.02,Darren McFadden,RB,LV,13.8,3.2,1.05,2.08,113
15,2.04,Larry Fitzgerald,WR,ARI,15.6,3.1,1.07,2.11,121
16,2.04,Michael Turner,RB,ATL,15.7,3.7,1.03,2.12,87
17,2.06,Vincent Jackson,WR,LAC,18,4.6,1.1,4.1,83
18,2.07,Frank Gore,RB,SF,18.8,4,1.07,3.05,101
19,2.07,Tom Brady,QB,NE,18.8,5.9,1.01,3.07,106
20,2.08,Hakeem Nicks,WR,NYG,20.1,3.6,1.02,3.04,71
21,2.1,Steven Jackson,RB,LAR,21.9,4.3,1.03,3.09,140
22,2.1,Greg Jennings,WR,GB,22.1,3.3,2.02,3.08,75
23,2.12,Matt Forte,RB,CHI,23.5,4.2,2.02,3.1,112
24,2.12,Mike Wallace,WR,PIT,23.9,4.2,2.04,3.1,107
25,3.01,Philip Rivers,QB,LAC,25.1,6.2,1.03,4.01,132
26,3.02,Peyton Hillis,RB,CLE,25.6,5.4,2.02,5.03,89
27,3.03,Drew Brees,QB,NO,27,7.1,1.02,4.07,114
28,3.03,DeSean Jackson,WR,PHI,27.5,4.2,2.06,4.03,78
29,3.05,LeGarrette Blount,RB,TB,28.7,5.1,1.09,4.03,113
30,3.06,Felix Jones,RB,DAL,30,4.9,2.01,4.03,118
31,3.07,Miles Austin,WR,DAL,30.5,4.5,1.09,4.06,122
32,3.1,Reggie Wayne,WR,IND,33.8,6.1,1.12,4.1,44
33,3.1,Shonn Greene,RB,NYJ,33.8,4.7,2.05,4.12,82
34,3.1,Dwayne Bowe,WR,KC,34.3,5.5,2.1,4.11,91
35,3.12,Ahmad Bradshaw,RB,NYG,35.6,4.8,2.11,4.1,102
36,4.02,Mike Williams,WR,TB,37.7,5.5,2.11,5.03,82
37,4.02,Antonio Gates,TE,LAC,37.8,7.5,1.01,5.1,69
38,4.04,Dez Bryant,WR,DAL,39.5,6.1,3.01,6.12,88
39,4.04,Jahvid Best,RB,DET,40.3,6.5,2.11,5.1,83
40,4.05,Brandon Marshall,WR,MIA,40.7,5.5,2.12,5.02,111
41,4.05,Tony Romo,QB,DAL,41.4,5.4,3.05,5.04,62
42,4.06,Jermichael Finley,TE,GB,41.7,7.5,2.09,5.11,52
43,4.07,Wes Welker,WR,NE,43.2,5.9,2.06,5.05,77
44,4.08,Ryan Mathews,RB,LAC,44.4,7.9,2.09,5.12,78
45,4.1,Knowshon Moreno,RB,DEN,45.8,7.5,3.09,7.1,75
46,4.1,Santonio Holmes,WR,NYJ,45.9,7.5,2.11,7.09,99
47,4.11,Mark Ingram,RB,NO,46.8,7.3,3.1,6.12,99
48,4.11,Brandon Lloyd,WR,LAR,47.2,6.4,3.12,6.04,74
49,4.12,Jason Witten,TE,DAL,48.1,6.9,3.01,6.04,49
50,5.02,Chad Johnson,WR,NE,49.6,8.8,2.11,7.07,43
51,5.02,DeAngelo Williams,RB,CAR,49.7,9,2.12,6.08,113
52,5.04,Marques Colston,WR,NO,52.3,6.7,3.03,6.1,84
53,5.04,Steve Johnson,WR,None,52.3,7.4,3.04,6.06,86
54,5.07,Tim Hightower,RB,WAS,55,8.1,3.09,7.01,124
55,5.08,Matt Schaub,QB,HOU,55.7,11.2,3.02,7.06,106
56,5.08,Beanie Wells,RB,ARI,55.9,8,3.12,7.01,126
57,5.08,Anquan Boldin,WR,BAL,56,6.7,3.12,6.09,116
58,5.08,Dallas Clark,TE,IND,56.2,7.9,4.04,7.04,28
59,5.11,Mario Manningham,WR,NYG,58.7,7.4,4.05,7.04,153
60,5.11,Vernon Davis,TE,SF,59,7.8,4.02,7.03,45
61,5.12,Percy Harvin,WR,MIN,60,8.4,2.12,7.08,99
62,6.01,Peyton Manning,QB,IND,60.7,14.2,2.12,8.03,39
63,6.01,Ryan Grant,RB,GB,61.3,11.3,3.12,7.04,30
64,6.01,Matt Ryan,QB,ATL,61.3,11.7,3.02,7.11,104
65,6.02,Jeremy Maclin,WR,PHI,62.4,8.5,4.03,8.01,101
66,6.05,Jimmy Graham,TE,NO,65,6.2,5.02,7.06,49
67,6.06,Cedric Benson,RB,CIN,65.9,9.4,4.01,7.11,67
68,6.07,Ben Roethlisberger,QB,PIT,67.1,12.6,3.05,10.12,82
69,6.09,BenJarvus Green-Ellis,RB,NE,68.6,9.3,4.03,8.05,95
70,6.09,Julio Jones,WR,ATL,68.9,8.2,4.07,8.03,114
71,6.1,Owen Daniels,TE,HOU,69.5,7.1,4.12,7.07,48
72,6.1,Kenny Britt,WR,TEN,69.8,7.6,5.02,8.11,103
73,7.01,Plaxico Burress,WR,NYJ,73.2,8.7,5.02,8.09,59
