"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.01,"adrian peterson","RB","MIN",1.3,1.1,1.01,2.1,512,1
1.03,"doug martin","RB","TB",2.9,2.1,1.01,4.05,418,2
1.05,"jamaal charles","RB","KC",4.7,1.8,1.01,1.1,322,3
1.05,"arian foster","RB","HOU",5.1,2.3,1.01,1.11,317,4
1.05,"c.j. spiller","RB","None",5.3,4,1.02,7.04,409,5
1.06,"marshawn lynch","RB","SEA",5.6,2.2,1.02,2.04,433,6
1.06,"lesean mccoy","RB","PHI",5.9,2,1.01,1.12,406,7
1.08,"trent richardson","RB","IND",7.7,2.2,1.02,2.11,460,8
1.08,"ray rice","RB","BAL",8.2,2.2,1.02,2.03,448,9
1.09,"calvin johnson","WR","DET",9.1,2.9,1.01,2.04,401,1
1.11,"alfred morris","RB","WAS",11.1,1.7,1.05,2.04,427,10
1.12,"matt forte","RB","CHI",12.1,2.4,1.01,2.07,409,11
2.02,"dez bryant","WR","DAL",14.4,2.7,1.05,3.01,303,2
2.03,"steven jackson","RB","ATL",14.8,2.7,1.03,2.11,330,12
2.03,"chris johnson","RB","NYJ",15.5,2.6,1.04,2.12,318,13
2.04,"david wilson","RB","NYG",16.4,2.9,1.07,3.06,387,14
2.06,"stevan ridley","RB","NE",17.5,2.9,1.09,3.04,380,15
2.06,"a.j. green","WR","CIN",17.8,3,1.08,3.02,407,3
2.07,"maurice jones-drew","RB","LV",18.7,3.2,1.1,3.04,425,16
2.07,"drew brees","QB","NO",19.1,6.8,1.01,3.1,340,1
2.08,"reggie bush","RB","DET",19.9,3.3,1.11,3.08,455,17
2.1,"julio jones","WR","ATL",21.8,3.1,1.1,3.07,436,4
2.11,"jimmy graham","TE","NO",22.6,6.3,1.02,10.01,396,1
2.12,"brandon marshall","WR","CHI",23.7,3.4,2.01,3.09,484,5
2.12,"frank gore","RB","SF",24.4,3.6,2.02,3.12,427,18
3.01,"aaron rodgers","QB","GB",24.7,6.4,1.01,4.08,375,2
3.02,"demaryius thomas","WR","DEN",26.1,5.2,2.02,10.07,460,6
3.03,"demarco murray","RB","DAL",27.4,4.5,2.02,4.08,433,19
3.05,"larry fitzgerald","WR","ARI",28.9,3.2,2.05,4.05,387,7
3.05,"eddie lacy","RB","GB",29.4,4.3,2.03,4.07,442,20
3.07,"andre johnson","WR","HOU",31.3,3.6,2.04,4.09,314,8
3.08,"randall cobb","WR","GB",32,4,1.02,4.08,351,9
3.08,"peyton manning","QB","DEN",32.4,6.1,1.02,5.02,332,3
3.09,"lamar miller","RB","MIA",32.7,5.3,2.06,7.03,380,21
3.1,"darren sproles","RB","PHI",33.5,5.6,2.08,5.02,367,22
3.11,"roddy white","WR","ATL",35,3.7,2.05,4.1,392,10
4.01,"victor cruz","WR","NYG",36.5,4,1.1,5.01,385,11
4.02,"vincent jackson","WR","TB",38.4,3.8,3.02,4.11,323,12
4.04,"darren mcfadden","RB","LV",39.8,6.3,2.01,5.07,330,23
4.05,"danny amendola","WR","NE",40.6,4.4,3.03,6.01,317,13
4.06,"giovani bernard","RB","CIN",41.8,5.5,2.06,5.11,381,24
4.06,"dwayne bowe","WR","KC",42.1,4.6,2.08,6.03,342,14
4.07,"tom brady","QB","NE",42.5,7.8,1.08,6.07,301,4
4.08,"marques colston","WR","NO",43.8,4.1,3.04,5.12,312,15
4.08,"rob gronkowski","TE","NE",44.4,6.9,2.11,10.02,369,2
4.09,"daryl richardson","RB","LAR",45.2,6.2,3.01,6.04,401,25
4.1,"reggie wayne","WR","IND",46.1,4.4,3.12,5.12,364,16
4.11,"wes welker","WR","DEN",46.6,5.3,2.12,6.04,387,17
5.01,"ryan mathews","RB","LAC",48.7,7,2.11,6.08,403,26
5.01,"pierre garcon","WR","WAS",48.8,4.7,3.08,6.05,361,18
5.02,"cam newton","QB","CAR",50,7.9,1.02,7.04,313,5
5.03,"jordy nelson","WR","GB",51,5,4.01,6.09,338,19
5.05,"montee ball","RB","DEN",53.1,7.9,2.1,7.01,305,27
5.06,"torrey smith","WR","BAL",53.8,5.6,3.12,7.02,342,20
5.06,"matt ryan","QB","ATL",54.5,7.9,2.02,7.07,303,6
5.07,"ahmad bradshaw","RB","IND",55.2,7.5,2.12,8.01,357,28
