"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"adrian peterson","RB","27","16","0","0","0","0","0","348","2097","12","51","40","217","1","2","1","","307","177","1"
"doug martin","RB","23","16","0","0","0","0","0","319","1454","11","70","49","472","1","1","","","263","132","2"
"arian foster","RB","26","16","0","0","0","0","0","351","1424","15","58","40","217","2","2","","","262","132","3"
"marshawn lynch","RB","26","16","0","0","0","0","0","315","1590","11","30","23","196","1","2","","","247","116","4"
"alfred morris","RB","24","16","0","0","0","0","0","335","1613","13","16","11","77","0","3","","","241","111","5"
"calvin johnson","WR","27","16","0","0","0","0","0","0","0","0","204","122","1964","5","3","","","220","102","1"
"brandon marshall","WR","28","16","0","0","0","0","0","1","-2","0","192","118","1508","11","0","","","217","98","2"
"drew brees","QB","33","16","422","670","5177","43","19","15","5","1","0","0","0","0","1","","","346","95","1"
"aaron rodgers","QB","29","16","371","552","4295","39","8","54","259","2","1","1","-1","0","4","","1","344","93","2"
"ray rice","RB","25","16","0","0","0","0","0","257","1143","9","83","61","478","1","0","","","222","92","6"
"tom brady","QB","35","16","401","637","4827","34","8","23","32","4","0","0","0","0","0","","","340","90","3"
"dez bryant","WR","24","16","0","0","0","0","0","2","-5","0","138","92","1382","12","2","1","","208","89","3"
"a.j. green","WR","24","16","0","0","0","0","0","4","38","0","164","97","1350","11","1","","","203","84","4"
"c.j. spiller","RB","25","16","0","0","0","0","0","207","1244","6","57","43","459","2","3","","","212","82","7"
"demaryius thomas","WR","25","16","0","0","0","0","0","0","0","0","143","94","1434","10","3","","","197","79","5"
"jamaal charles","RB","26","16","0","0","0","0","0","285","1509","5","49","35","236","1","3","","","205","74","8"
"trent richardson","RB","22","15","0","0","0","0","0","267","950","11","70","51","367","1","0","","","204","73","9"
"cam newton","QB","23","16","280","485","3869","19","12","127","741","8","1","0","6","0","3","","","323","73","4"
"vincent jackson","WR","29","16","0","0","0","0","0","0","0","0","147","72","1384","8","0","1","","188","70","6"
"stevan ridley","RB","23","16","0","0","0","0","0","290","1263","12","14","6","51","0","2","","","199","69","10"
"andre johnson","WR","31","16","0","0","0","0","0","0","0","0","162","112","1598","4","0","","","186","67","7"
"robert griffin","QB","22","15","258","393","3200","20","5","120","815","7","1","0","0","0","2","","","318","67","5"
"frank gore","RB","29","16","0","0","0","0","0","258","1214","8","36","28","234","1","1","","","197","66","11"
"eric decker","WR","25","16","0","0","0","0","0","0","0","0","122","85","1064","13","0","","","184","66","8"
"julio jones","WR","23","16","0","0","0","0","0","6","30","0","128","79","1198","10","0","","","183","64","9"
"peyton manning","QB","36","16","400","583","4659","37","11","23","6","0","0","0","0","0","2","","1","311","60","6"
"roddy white","WR","31","16","0","0","0","0","0","0","0","0","142","92","1351","7","0","","","177","59","10"
"jimmy graham","TE","26","15","0","0","0","0","0","0","0","0","135","85","982","9","0","","","152","56","1"
"matt ryan","QB","27","16","422","615","4719","32","14","34","141","1","0","0","0","0","2","","","305","54","7"
"wes welker","WR","31","16","0","0","0","0","0","2","20","0","174","118","1354","6","1","","","171","53","11"
"marques colston","WR","29","16","0","0","0","0","0","0","0","0","130","83","1154","10","2","","","171","53","12"
"victor cruz","WR","26","16","0","0","0","0","0","0","0","0","143","86","1092","10","0","","","169","51","13"
"rob gronkowski","TE","23","11","0","0","0","0","0","0","0","0","79","55","790","11","1","","","143","47","2"
"matt forte","RB","27","15","0","0","0","0","0","248","1094","5","59","44","340","1","1","","","177","47","12"
"michael crabtree","WR","25","16","0","0","0","0","0","1","8","0","127","85","1105","9","0","","","165","47","14"
"tony gonzalez","TE","36","16","0","0","0","0","0","0","0","0","124","93","930","8","0","","","141","45","3"
"chris johnson","RB","27","16","0","0","0","0","0","276","1243","6","49","36","232","0","4","","","176","45","13"
"reggie wayne","WR","34","16","0","0","0","0","0","1","-5","0","195","106","1355","5","1","","","163","45","15"
"james jones","WR","28","16","0","0","0","0","0","0","0","0","98","64","784","14","0","","","162","44","16"
"reggie bush","RB","27","16","0","0","0","0","0","227","986","6","52","35","292","2","2","","","172","41","14"
"shonn greene","RB","27","16","0","0","0","0","0","276","1063","8","30","19","151","0","1","","","167","37","15"
"mike williams","WR","25","16","1","1","28","0","0","0","0","0","126","63","996","9","0","","","155","36","17"
