#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drated
199,14.1,LA Rams Defense,DEF,LAR,165.8,9.3,11.12,15.12,106
200,14.12,Sebastian Janikowski,PK,LV,168.4,6.4,13.12,15.12,61
201,15.01,Jacksonville Defense,DEF,JAX,168.8,8.5,13.07,15.12,36
202,15.01,Cairo Santos,PK,CHI,168.8,18.3,3.06,15.12,65
203,15.01,Buffalo Defense,DEF,BUF,169.1,9.4,13.05,15.12,22
204,15.01,Adam Vinatieri,PK,IND,169.4,7.2,12.05,15.12,62
205,15.01,Brandon McManus,PK,DEN,169.5,6.1,14.03,15.12,47
206,15.02,Blair Walsh,PK,SEA,169.7,6.6,12.08,15.12,52
207,15.03,Matt Prater,PK,DET,170.9,5.3,14.03,15.12,80
208,15.03,LA Chargers Defense,DEF,LAC,171.2,6.6,14.03,15.1,17
209,15.04,Chris Boswell,PK,PIT,172.4,4.9,14.07,15.12,62
210,15.05,Graham Gano,PK,CAR,172.7,5.6,14.03,15.12,32
211,15.06,Dustin Hopkins,PK,WAS,173.9,4.4,14.1,15.12,34
