"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.01,"adrian peterson","RB","MIN",1.3,0.6,1.01,1.04,529,1
1.03,"maurice jones-drew","RB","JAX",2.6,1,1.01,1.08,292,2
1.03,"michael turner","RB","ATL",2.9,1.1,1.01,1.08,218,3
1.04,"matt forte","RB","CHI",3.8,1.2,1.01,1.09,512,4
1.06,"larry fitzgerald","WR","ARI",6.1,1.9,1.01,2.01,274,1
1.06,"deangelo williams","RB","CAR",6.3,1.8,1.01,2.01,407,5
1.08,"ladainian tomlinson","RB","LAC",7.8,2.3,1.01,2.06,439,6
1.08,"randy moss","WR","NE",8.2,2.1,1.01,2.06,532,2
1.09,"steven jackson","RB","LAR",9.2,2.5,1.03,2.05,413,7
1.1,"andre johnson","WR","HOU",9.8,2.4,1.01,2.06,546,3
1.11,"drew brees","QB","NO",11.2,4.4,1.01,2.08,400,1
1.12,"calvin johnson","WR","DET",12.3,2.4,1.06,2.08,408,4
2.01,"chris johnson","RB","TEN",13,3.3,1.05,2.1,484,8
2.02,"steve slaton","RB","HOU",13.7,3.2,1.03,2.11,492,9
2.02,"tom brady","QB","NE",14.3,4.4,1.01,2.12,442,2
2.04,"frank gore","RB","SF",15.5,3.2,1.05,3.01,539,10
2.05,"reggie wayne","WR","IND",17.2,3.2,1.1,3.04,472,5
2.06,"brandon jacobs","RB","NYG",17.7,3.6,1.02,3.06,460,11
2.07,"greg jennings","WR","GB",18.8,3.2,1.1,3.03,485,6
2.08,"brian westbrook","RB","PHI",19.6,3.9,1.06,3.07,424,12
2.09,"steve smith","WR","CAR",21.4,3.8,1.08,3.1,402,7
2.1,"roddy white","WR","ATL",22.3,3.7,1.12,3.09,410,8
2.12,"peyton manning","QB","IND",24,5,1.01,4.03,405,3
3.01,"marques colston","WR","NO",24.6,3.1,2.03,3.1,382,9
3.02,"anquan boldin","WR","ARI",25.7,3.7,2.01,3.11,420,10
3.03,"aaron rodgers","QB","GB",26.9,6,1.05,4.05,396,4
3.03,"clinton portis","RB","WAS",27,4.9,1.08,4.05,412,13
3.04,"marion barber","RB","DAL",28,4.8,1.08,4.06,444,14
3.06,"ryan grant","RB","GB",29.6,4.5,1.02,4.06,477,15
3.07,"wes welker","WR","NE",31,4.4,2.04,4.09,379,11
3.09,"pierre thomas","RB","NO",32.8,4.9,2.02,4.11,332,16
3.09,"ronnie brown","RB","MIA",33,4.7,2.06,5.05,421,17
3.11,"kevin smith","RB","DET",34.5,5,2.09,5.02,459,18
3.11,"terrell owens","WR","None",34.5,5,2.07,4.1,292,12
3.11,"t.j. houshmandzadeh","WR","SEA",34.6,5.1,2.06,5.05,452,13
3.11,"philip rivers","QB","LAC",35.2,7,2.05,5.08,368,5
4.01,"dwayne bowe","WR","KC",37.5,5,1.1,5.03,414,14
4.03,"chad johnson","WR","CIN",38.7,4.7,2.12,5.03,462,15
4.04,"vincent jackson","WR","LAC",39.5,5,3.03,5.1,389,16
4.05,"ray rice","RB","BAL",40.6,6.1,2.11,5.12,460,19
4.06,"jason witten","TE","DAL",42,5.6,2.08,5.09,306,1
