"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"tom brady","QB","30","16","398","578","4806","50","8","37","98","2","0","0","0","0","4","","","398","180","1"
"ladainian tomlinson","RB","28","16","1","1","17","1","0","315","1474","15","86","60","475","3","","","","308","174","1"
"randy moss","WR","30","16","0","0","0","0","0","0","0","0","160","98","1493","23","","","","287","165","1"
"brian westbrook","RB","28","15","0","0","0","0","0","278","1333","7","118","90","771","5","2","","","282","149","2"
"adrian peterson","RB","22","14","0","0","0","0","0","238","1341","12","28","19","268","1","3","","","239","106","3"
"terrell owens","WR","34","15","0","0","0","0","0","1","5","0","141","81","1355","15","","","","226","104","2"
"braylon edwards","WR","24","16","0","0","0","0","0","0","0","0","154","80","1289","16","2","","","225","103","3"
"clinton portis","RB","26","16","1","1","15","1","0","325","1262","11","60","47","389","0","5","","","236","103","4"
"joseph addai","RB","24","15","0","0","0","0","0","261","1072","12","48","41","364","3","","1","","236","103","5"
"reggie wayne","WR","29","16","0","0","0","0","0","1","4","0","156","104","1510","10","3","","","211","89","4"
"jamal lewis","RB","28","15","0","0","0","0","0","298","1304","9","39","30","248","2","2","","","221","88","6"
"tony romo","QB","27","16","335","520","4211","36","19","31","129","2","0","0","0","0","2","","","299","81","2"
"larry fitzgerald","WR","24","15","0","0","0","0","0","0","0","0","167","100","1409","10","3","","","201","79","5"
"jason witten","TE","25","16","0","0","0","0","0","0","0","0","141","96","1145","7","1","","","157","78","1"
"chad johnson","WR","29","16","0","0","0","0","0","6","47","0","161","93","1440","8","1","","","197","75","6"
"antonio gates","TE","27","16","0","0","0","0","0","0","0","0","117","75","984","9","","","","152","74","2"
"tony gonzalez","TE","31","16","0","0","0","0","0","0","0","0","153","99","1172","5","","","","147","69","3"
"t.j. houshmandzadeh","WR","30","16","0","0","0","0","0","5","14","0","169","112","1143","12","1","","","188","66","7"
"marion barber","RB","24","16","0","0","0","0","0","204","975","10","54","44","282","2","","","","198","65","7"
"kellen winslow","TE","24","16","0","0","0","0","0","0","0","0","148","82","1106","5","1","1","","143","64","4"
"marques colston","WR","24","16","0","0","0","0","0","0","0","0","143","98","1202","11","1","","","186","64","8"
"peyton manning","QB","31","16","337","515","4040","31","14","20","-5","3","0","0","0","0","1","","1","277","59","3"
"willis mcgahee","RB","26","15","0","0","0","0","0","294","1207","7","49","43","231","1","3","","","192","59","8"
"brandon marshall","WR","23","16","0","0","0","0","0","5","57","0","170","102","1325","7","1","","","180","58","9"
"frank gore","RB","24","15","0","0","0","0","0","260","1102","5","69","53","436","1","3","","","190","57","9"
"plaxico burress","WR","30","16","0","0","0","0","0","0","0","0","141","70","1025","12","","","","175","52","10"
"dallas clark","TE","28","15","0","0","0","0","0","2","29","0","101","58","616","11","","","","131","52","5"
"edgerrin james","RB","29","16","0","0","0","0","0","324","1222","7","39","24","204","0","","","","185","52","10"
"chris cooley","TE","25","16","0","0","0","0","0","0","0","0","110","66","786","8","","1","","129","50","6"
"earnest graham","RB","27","15","0","0","0","0","0","222","898","10","69","49","324","0","1","","","182","49","11"
"ben roethlisberger","QB","25","15","264","404","3154","32","11","35","204","2","0","0","0","0","3","","1","267","48","4"
"drew brees","QB","28","16","440","652","4423","28","18","23","52","1","2","2","10","0","4","","","265","47","5"
"wes welker","WR","26","16","0","0","0","0","0","4","34","0","145","112","1175","8","","","","169","47","11"
"marshawn lynch","RB","21","13","1","1","8","1","0","280","1115","7","26","18","184","0","1","1","","178","45","12"
"greg jennings","WR","24","13","0","0","0","0","0","0","0","0","84","53","920","12","","","","164","42","12"
"torry holt","WR","31","16","0","0","0","0","0","0","0","0","149","93","1189","7","","1","","163","41","13"
"matt hasselbeck","QB","32","16","352","562","3966","28","12","39","89","0","0","0","0","0","4","","1","258","39","6"
"maurice jones-drew","RB","22","15","0","0","0","0","0","167","768","9","55","40","407","0","2","","","172","38","13"
"derek anderson","QB","24","16","298","527","3787","29","19","32","70","3","0","0","0","0","2","","1","256","38","7"
"steven jackson","RB","24","12","1","1","2","1","0","237","1002","5","52","38","271","1","2","","","167","34","14"
"roddy white","WR","26","16","0","0","0","0","0","1","-2","0","137","83","1202","6","2","","","156","34","14"
