"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.01,"adrian peterson","RB","MIN",1.5,0.8,1.01,1.04,135,1
1.02,"ray rice","RB","BAL",2.3,1.1,1.01,1.06,67,2
1.03,"arian foster","RB","HOU",2.9,1.7,1.01,1.08,27,3
1.04,"chris johnson","RB","TEN",3.9,1.6,1.01,1.12,136,4
1.05,"jamaal charles","RB","KC",5.1,2.6,1.01,3.03,106,5
1.05,"michael vick","QB","PHI",5.5,2.5,1.01,2.06,73,1
1.07,"andre johnson","WR","HOU",7.1,2.2,1.01,2.01,89,1
1.08,"lesean mccoy","RB","PHI",7.9,2.3,1.01,2.06,126,6
1.09,"rashard mendenhall","RB","PIT",8.9,2.2,1.04,2.02,106,7
1.09,"aaron rodgers","QB","GB",9.3,3.6,1.01,2.07,123,2
1.11,"calvin johnson","WR","DET",10.8,2.9,1.06,3.01,92,2
2.01,"roddy white","WR","ATL",12.9,2.6,1.06,2.07,99,3
2.01,"maurice jones-drew","RB","JAX",13.4,3.3,1.08,2.1,91,8
2.02,"darren mcfadden","RB","LV",13.8,3.2,1.05,2.08,113,9
2.04,"larry fitzgerald","WR","ARI",15.6,3.1,1.07,2.11,121,4
2.04,"michael turner","RB","ATL",15.7,3.7,1.03,2.12,87,10
2.06,"vincent jackson","WR","LAC",18,4.6,1.1,4.1,83,5
2.07,"frank gore","RB","SF",18.8,4,1.07,3.05,101,11
2.07,"tom brady","QB","NE",18.8,5.9,1.01,3.07,106,3
2.08,"hakeem nicks","WR","NYG",20.1,3.6,1.02,3.04,71,6
2.1,"steven jackson","RB","LAR",21.9,4.3,1.03,3.09,140,12
2.1,"greg jennings","WR","GB",22.1,3.3,2.02,3.08,75,7
2.12,"matt forte","RB","CHI",23.5,4.2,2.02,3.1,112,13
2.12,"mike wallace","WR","PIT",23.9,4.2,2.04,3.1,107,8
3.01,"philip rivers","QB","LAC",25.1,6.2,1.03,4.01,132,4
3.02,"peyton hillis","RB","CLE",25.6,5.4,2.02,5.03,89,14
3.03,"drew brees","QB","NO",27,7.1,1.02,4.07,114,5
3.03,"desean jackson","WR","PHI",27.5,4.2,2.06,4.03,78,9
3.05,"legarrette blount","RB","TB",28.7,5.1,1.09,4.03,113,15
3.06,"felix jones","RB","DAL",30,4.9,2.01,4.03,118,16
3.07,"miles austin","WR","DAL",30.5,4.5,1.09,4.06,122,10
3.1,"reggie wayne","WR","IND",33.8,6.1,1.12,4.1,44,11
3.1,"shonn greene","RB","NYJ",33.8,4.7,2.05,4.12,82,17
3.1,"dwayne bowe","WR","KC",34.3,5.5,2.1,4.11,91,12
3.12,"ahmad bradshaw","RB","NYG",35.6,4.8,2.11,4.1,102,18
4.02,"mike williams","WR","TB",37.7,5.5,2.11,5.03,82,13
4.02,"antonio gates","TE","LAC",37.8,7.5,1.01,5.1,69,1
4.04,"dez bryant","WR","DAL",39.5,6.1,3.01,6.12,88,14
4.04,"jahvid best","RB","DET",40.3,6.5,2.11,5.1,83,19
4.05,"brandon marshall","WR","MIA",40.7,5.5,2.12,5.02,111,15
4.05,"tony romo","QB","DAL",41.4,5.4,3.05,5.04,62,6
4.06,"jermichael finley","TE","GB",41.7,7.5,2.09,5.11,52,2
4.07,"wes welker","WR","NE",43.2,5.9,2.06,5.05,77,16
4.08,"ryan mathews","RB","LAC",44.4,7.9,2.09,5.12,78,20
4.1,"knowshon moreno","RB","DEN",45.8,7.5,3.09,7.1,75,21
4.1,"santonio holmes","WR","NYJ",45.9,7.5,2.11,7.09,99,17
4.11,"mark ingram","RB","NO",46.8,7.3,3.1,6.12,99,22
4.11,"brandon lloyd","WR","LAR",47.2,6.4,3.12,6.04,74,18
4.12,"jason witten","TE","DAL",48.1,6.9,3.01,6.04,49,3
5.02,"chad johnson","WR","NE",49.6,8.8,2.11,7.07,43,19
5.02,"deangelo williams","RB","CAR",49.7,9,2.12,6.08,113,23
5.04,"marques colston","WR","NO",52.3,6.7,3.03,6.1,84,20
5.04,"steve johnson","WR","None",52.3,7.4,3.04,6.06,86,21
5.07,"tim hightower","RB","WAS",55,8.1,3.09,7.01,124,24
5.08,"matt schaub","QB","HOU",55.7,11.2,3.02,7.06,106,7
5.08,"beanie wells","RB","ARI",55.9,8,3.12,7.01,126,25
5.08,"anquan boldin","WR","BAL",56,6.7,3.12,6.09,116,22
5.08,"dallas clark","TE","IND",56.2,7.9,4.04,7.04,28,4
5.11,"mario manningham","WR","NYG",58.7,7.4,4.05,7.04,153,23
5.11,"vernon davis","TE","SF",59,7.8,4.02,7.03,45,5
5.12,"percy harvin","WR","MIN",60,8.4,2.12,7.08,99,24
6.01,"peyton manning","QB","IND",60.7,14.2,2.12,8.03,39,8
6.01,"ryan grant","RB","GB",61.3,11.3,3.12,7.04,30,26
6.01,"matt ryan","QB","ATL",61.3,11.7,3.02,7.11,104,9
6.02,"jeremy maclin","WR","PHI",62.4,8.5,4.03,8.01,101,25
6.05,"jimmy graham","TE","NO",65,6.2,5.02,7.06,49,6
6.06,"cedric benson","RB","CIN",65.9,9.4,4.01,7.11,67,27
6.07,"ben roethlisberger","QB","PIT",67.1,12.6,3.05,10.12,82,10
6.09,"benjarvus green-ellis","RB","NE",68.6,9.3,4.03,8.05,95,28
6.09,"julio jones","WR","ATL",68.9,8.2,4.07,8.03,114,26
6.1,"owen daniels","TE","HOU",69.5,7.1,4.12,7.07,48,7
6.1,"kenny britt","WR","TEN",69.8,7.6,5.02,8.11,103,27
7.01,"plaxico burress","WR","NYJ",73.2,8.7,5.02,8.09,59,28
7.01,"fred jackson","RB","None",73.2,11.6,3.02,8.07,70,29
7.03,"marshawn lynch","RB","SEA",74.6,6.8,5.12,8.09,59,30
7.03,"reggie bush","RB","MIA",74.7,9.1,5.07,9.06,94,31
7.04,"tony gonzalez","TE","ATL",76.4,15,3.01,10.11,35,8
7.06,"matthew stafford","QB","DET",78.1,11.3,5.07,9.1,114,11
7.06,"mike tolbert","RB","LAC",78.3,8.9,4.11,9.05,53,32
7.06,"austin collie","WR","IND",78.3,9.7,5.05,8.1,37,29
7.09,"joseph addai","RB","IND",80.6,8.4,5.11,9.01,59,33
7.1,"malcom floyd","WR","LAC",81.8,10.8,5.06,9.11,77,30
7.11,"sidney rice","WR","SEA",82.7,9.6,6.06,9.09,43,31
7.12,"daniel thomas","RB","MIA",84.5,11.6,5.09,10.1,33,34
8.01,"mike sims-walker","WR","FA",85.3,10.5,5.1,10.01,96,32
8.01,"pittsburgh defense","DEF","PIT",85.5,8.2,5.08,9.04,116,1
8.02,"santana moss","WR","WAS",85.6,9.3,6.07,9.11,104,33
8.03,"marcedes lewis","TE","JAX",87,15.8,6.09,12.02,37,9
8.04,"brandon jacobs","RB","NYG",88.2,9.2,6.02,9.08,86,35
8.06,"james starks","RB","GB",90.4,11.5,6.04,11.04,76,36
8.07,"green bay defense","DEF","GB",91,9.3,5.03,9.07,66,2
8.08,"josh freeman","QB","TB",91.7,15.7,1.01,10.1,84,12
8.09,"pierre garcon","WR","IND",92.9,11,6.05,11.03,27,34
8.1,"jonathan stewart","RB","CAR",93.5,11.9,5.02,10.03,38,37
8.1,"philadelphia defense","DEF","PHI",94.2,15.1,3.04,10.01,37,3
8.11,"steve smith","WR","CAR",94.6,11.4,6.1,11.01,72,35
8.12,"ny jets defense","DEF","NYJ",95.7,8.6,6.08,9.1,23,4
9.02,"eli manning","QB","NYG",97.9,22.6,1.01,11.08,58,13
9.02,"rob gronkowski","TE","NE",98.1,21,6.09,13.01,75,10
9.02,"a.j. green","WR","CIN",98.1,9.3,7.03,10.09,65,36
9.03,"sam bradford","QB","LAR",98.8,12.9,6.06,11.01,87,14
9.03,"ladainian tomlinson","RB","NYJ",99.2,17.7,5.01,12.05,26,38
9.04,"hines ward","WR","PIT",100,11.4,6.12,11.02,43,37
9.05,"danny amendola","WR","LAR",100.9,12.9,6.11,13.01,102,38
9.06,"pierre thomas","RB","NO",102.1,13.5,6.01,11.01,54,39
9.06,"baltimore defense","DEF","BAL",102.2,7.7,7.02,10.06,29,5
9.09,"johnny knox","WR","CHI",104.9,12.1,7.1,11.11,46,39
9.09,"mike thomas","WR","JAX",104.9,10.8,7.1,11.05,56,40
9.09,"michael bush","RB","LV",105.1,12.6,7.02,11.12,57,40
9.11,"ben tate","RB","HOU",106.6,11,7.12,11.05,62,41
10.01,"michael crabtree","WR","SF",108.6,13.3,7.03,11.07,33,41
10.01,"new england defense","DEF","NE",108.9,7.9,9.04,11.09,19,6
10.01,"lee evans","WR","BAL",109.2,14.4,7.01,12.09,94,42
10.01,"braylon edwards","WR","SF",109.2,14.7,6.08,12.07,48,43
10.01,"willis mcgahee","RB","DEN",109.3,14.1,6.11,12.11,71,42
