"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"chris johnson","RB","24","16","0","1","0","0","0","358","2006","14","71","50","503","2","3","1","","349","202","1"
"adrian peterson","RB","24","16","0","0","0","0","0","314","1383","18","57","43","436","0","6","","","290","143","2"
"maurice jones-drew","RB","24","16","0","0","0","0","0","312","1391","15","71","53","374","1","1","","","273","126","3"
"aaron rodgers","QB","26","16","350","541","4434","30","7","58","316","5","0","0","0","0","4","","3","351","115","1"
"ray rice","RB","22","16","0","1","0","0","0","254","1339","7","101","78","702","1","2","","","252","105","4"
"andre johnson","WR","28","16","0","0","0","0","0","2","10","0","171","101","1569","9","","1","","214","98","1"
"randy moss","WR","32","16","0","0","0","0","0","0","0","0","137","83","1264","13","1","1","","206","91","2"
"frank gore","RB","26","14","0","0","0","0","0","229","1120","10","75","52","406","3","2","","","231","84","5"
"thomas jones","RB","31","16","0","0","0","0","0","331","1402","14","18","10","58","0","","","","230","83","6"
"miles austin","WR","25","16","0","0","0","0","0","2","-2","0","124","81","1320","11","","","","198","82","3"
"vernon davis","TE","25","16","0","0","0","0","0","0","0","0","128","78","965","13","","","","175","76","1"
"desean jackson","WR","23","15","0","0","0","0","0","11","137","1","117","62","1156","9","1","","","189","74","4"
"dallas clark","TE","30","16","0","0","0","0","0","2","11","0","133","100","1106","10","","","","172","73","2"
"larry fitzgerald","WR","26","16","0","0","0","0","0","0","0","0","153","97","1092","13","","","","187","71","5"
"drew brees","QB","30","15","363","514","4388","34","11","22","33","2","1","1","-4","0","6","","1","306","70","2"
"ricky williams","RB","32","16","0","1","0","0","1","241","1121","11","53","35","264","2","2","1","","217","70","7"
"reggie wayne","WR","31","16","0","1","0","0","1","0","0","0","149","100","1264","10","","","","184","69","6"
"roddy white","WR","28","16","0","0","0","0","0","1","2","0","165","85","1153","11","","","","182","66","7"
"antonio gates","TE","29","16","0","0","0","0","0","0","0","0","114","79","1157","8","","","","164","65","3"
"ryan grant","RB","27","16","0","0","0","0","0","282","1253","11","30","25","197","0","1","","","211","64","8"
"sidney rice","WR","23","16","0","1","0","0","0","0","0","0","121","83","1312","8","1","","","179","63","8"
"brandon marshall","WR","25","15","0","0","0","0","0","7","39","0","154","101","1120","10","","","","176","60","9"
"fred jackson","WR","28","16","1","1","27","1","0","237","1062","2","61","46","371","2","2","","","172","57","10"
"vincent jackson","WR","26","15","0","0","0","0","0","3","11","0","108","68","1167","9","","","","172","56","11"
"joseph addai","RB","26","15","1","1","22","1","0","219","828","10","63","51","336","3","1","","","199","52","9"
"steven jackson","RB","26","15","0","0","0","0","0","324","1416","4","75","51","322","0","2","","","198","51","10"
"brett favre","QB","40","16","363","531","4202","33","7","9","7","0","1","1","-2","0","3","","","287","50","3"
"matt schaub","QB","28","16","396","583","4770","29","15","48","57","0","0","0","0","0","2","","1","285","48","4"
"steve smith","WR","24","16","0","0","0","0","0","0","0","0","157","107","1220","7","","","","164","48","12"
"wes welker","WR","28","14","0","0","0","0","0","5","36","0","162","123","1348","4","","","","162","47","13"
"brent celek","TE","24","16","0","0","0","0","0","0","0","0","112","76","971","8","","","","145","47","4"
"jonathan stewart","RB","22","16","0","0","0","0","0","221","1133","10","26","18","139","1","2","","","193","46","11"
"marques colston","WR","26","16","0","0","0","0","0","1","6","0","107","70","1074","9","1","","","162","46","14"
"chad johnson","","31","16","0","0","0","0","0","3","32","0","128","72","1047","9","2","","","162","46","15"
"tony romo","QB","29","16","347","550","4483","26","9","35","105","1","0","0","0","0","4","","","282","46","5"
"jamaal charles","RB","23","15","0","0","0","0","0","190","1120","7","55","40","297","1","3","1","","192","45","12"
"peyton manning","QB","33","16","393","571","4500","33","16","19","-13","0","0","0","0","0","","","","279","43","6"
"santonio holmes","WR","25","16","0","1","0","0","0","3","6","0","138","79","1248","5","","","","155","40","16"
"philip rivers","QB","28","16","317","486","4254","28","9","26","50","1","0","0","0","0","3","","","275","39","7"
"tom brady","QB","32","16","371","565","4398","28","13","29","44","1","0","0","0","0","2","","1","274","38","8"
"rashard mendenhall","RB","22","16","0","0","0","0","0","242","1108","7","32","25","261","1","3","","","185","38","13"
"ben roethlisberger","QB","27","15","337","506","4328","26","12","40","82","2","0","0","0","0","3","","","273","37","9"
"hines ward","WR","33","16","0","0","0","0","0","0","0","0","137","95","1167","6","1","","","153","37","17"
"deangelo williams","RB","26","13","0","0","0","0","0","216","1117","7","41","29","252","0","3","1","","181","34","14"
"derrick mason","WR","35","16","0","0","0","0","0","1","2","0","134","73","1028","7","","","","145","29","18"
"steve smith","WR","30","15","0","0","0","0","0","5","22","0","129","65","982","7","","1","","144","29","19"
"donald driver","WR","34","16","0","0","0","0","0","1","13","0","113","70","1061","6","1","","","143","28","20"
"cedric benson","RB","27","13","0","0","0","0","0","301","1251","6","24","17","111","0","","","","172","25","15"
"tony gonzalez","TE","33","16","0","0","0","0","0","0","0","0","134","83","867","6","","","","123","24","5"
"visanthe shiancoe","TE","29","16","0","0","0","0","0","0","0","0","79","56","566","11","","","","123","24","6"
"greg jennings","WR","26","16","0","0","0","0","0","0","0","0","119","68","1113","4","","2","","139","24","21"
"knowshon moreno","RB","22","16","0","0","0","0","0","247","947","7","41","28","213","2","4","","","170","23","16"
"kellen winslow","TE","26","16","0","0","0","0","0","1","7","0","127","77","884","5","","","","121","23","7"
"calvin johnson","WR","24","14","0","0","0","0","0","7","73","0","137","67","984","5","2","","","136","20","22"
"matt forte","RB","24","16","0","0","0","0","0","258","929","4","72","57","471","0","3","1","","166","19","17"
"robert meachem","WR","25","16","0","0","0","0","0","6","82","0","64","45","722","9","1","","","134","19","23"
"anquan boldin","WR","29","15","0","0","0","0","0","3","12","1","127","84","1024","4","2","","","134","18","24"
"jason witten","TE","27","16","0","0","0","0","0","0","0","0","124","94","1030","2","","","","115","17","8"
"heath miller","TE","27","16","0","0","0","0","0","0","0","0","98","76","789","6","","","","115","16","9"
"ladainian tomlinson","RB","30","14","0","1","0","0","0","223","730","12","30","20","154","0","2","","","160","14","18"
"mike sims-walker","WR","25","15","0","0","0","0","0","0","0","0","111","63","869","7","1","","","129","13","25"
"percy harvin","WR","21","15","0","0","0","0","0","15","135","0","91","60","790","6","","","","129","13","26"
"eli manning","QB","28","16","317","509","4021","27","14","17","65","0","0","0","0","0","8","","","247","11","10"
"greg olsen","TE","24","16","0","0","0","0","0","0","0","0","108","60","612","8","","","","109","11","10"
"pierre thomas","RB","25","14","0","0","0","0","0","147","793","6","45","39","302","2","1","","","158","11","19"
"marion barber","RB","26","15","0","0","0","0","0","214","932","7","36","26","221","0","2","","","157","10","20"
"terrell owens","WR","36","16","0","0","0","0","0","6","54","1","109","55","829","5","","","","124","9","27"
"reggie bush","WR","24","14","0","0","0","0","0","70","390","5","68","47","335","3","2","","","121","5","28"
"donovan mcnabb","QB","33","14","267","443","3553","22","10","37","140","2","1","1","1","0","2","","2","240","4","11"
"michael turner","RB","27","11","0","0","0","0","0","178","871","10","7","5","35","0","2","","","151","4","21"
"tim hightower","RB","23","16","0","0","0","0","0","143","598","8","80","63","428","0","4","","","151","4","22"
"jerome harrison","RB","26","14","0","0","0","0","0","194","862","5","50","34","220","2","2","","","150","3","23"
"john carlson","TE","25","16","0","0","0","0","0","0","0","0","83","51","574","7","","","","99","1","11"
"mike wallace","WR","23","16","0","0","0","0","0","5","48","0","72","39","756","6","1","","","116","1","29"
"zach miller","TE","24","15","0","0","0","0","0","0","0","0","99","66","805","3","","","","99","","12"
"david garrard","QB","31","16","314","516","3597","15","10","77","323","3","0","0","0","0","8","1","","236","","12"
"hakeem nicks","WR","21","14","0","0","0","0","0","2","8","0","74","47","790","6","","","","116","","30"
"willis mcgahee","RB","28","16","0","0","0","0","0","109","544","12","22","15","85","2","1","","","147","","24"
"jay cutler","QB","26","16","336","555","3666","27","26","40","173","1","0","0","0","0","1","","2","230","","13"
"kurt warner","QB","38","15","339","513","3753","26","14","21","10","0","0","0","0","0","6","","","227","","14"
"jason campbell","QB","28","16","327","507","3618","20","15","46","236","1","0","0","0","0","4","","","224","","15"
"kyle orton","QB","27","16","336","541","3802","21","12","24","71","0","0","0","0","0","2","","","219","","16"
"carson palmer","QB","30","16","282","466","3094","21","13","39","93","3","0","0","0","0","1","1","1","213","","17"
"joe flacco","QB","24","16","315","499","3613","21","12","35","56","0","0","0","0","0","2","","","210","","18"
"matt ryan","QB","24","14","263","451","2916","22","14","30","49","1","0","0","0","0","2","","","188","","19"
"matt cassel","QB","27","15","271","493","2924","16","16","50","189","0","1","0","0","0","4","","1","170","","20"
"matt hasselbeck","QB","34","14","293","488","3029","17","17","26","119","0","0","0","0","0","3","","","167","","21"
"alex smith","QB","25","11","225","372","2350","18","12","24","51","0","1","1","-6","0","1","","","147","","22"
"kevin smith","RB","23","13","0","0","0","0","0","217","747","4","57","41","415","1","2","","","146","","25"
"cadillac williams","RB","27","16","0","0","0","0","0","211","823","4","39","28","217","3","","","","146","","26"
"chad henne","QB","24","14","274","451","2878","12","14","16","32","1","0","0","0","0","","","","144","","23"
"ahmad bradshaw","RB","23","15","0","0","0","0","0","163","778","7","30","21","207","0","2","","","141","","27"
"vince young","QB","26","12","152","259","1879","10","7","55","281","2","0","0","0","0","2","","","141","","24"
"laurence maroney","RB","24","15","0","0","0","0","0","194","757","9","18","14","99","0","3","","","140","","28"
"brandon jacobs","RB","27","15","0","0","0","0","0","224","835","5","31","18","184","1","1","","","138","","29"
"mark sanchez","QB","23","15","196","364","2444","12","20","36","106","3","0","0","0","0","3","","2","138","","25"
"beanie wells","RB","21","16","0","0","0","0","0","176","793","7","16","12","143","0","2","","","136","","30"
"ronnie brown","RB","28","9","2","6","22","1","0","147","648","8","20","14","98","0","1","","","127","","31"
"justin forsett","RB","24","16","0","0","0","0","0","114","619","4","57","41","350","1","1","","","127","","33"
"steve slaton","RB","23","11","0","0","0","0","0","131","437","3","55","44","417","4","5","","","127","","32"
"matthew stafford","QB","21","10","201","377","2267","13","20","20","108","2","0","0","0","0","1","","1","127","","26"
"darren sproles","RB","26","16","0","0","0","0","0","93","343","3","57","45","497","4","","","","126","","34"
"lesean mccoy","RB","21","16","0","0","0","0","0","155","637","4","55","40","308","0","1","1","","121","","35"
