"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drated","Pos_ADP"
12.04,"ny giants defense","DEF","NYG",136.1,12.8,9.03,15.01,81,8
12.04,"kevin white","WR","CHI",136.4,9.7,9.05,13.12,147,54
12.05,"carson palmer","QB","ARI",137.2,7.5,10.01,13.08,131,19
12.07,"cj prosise","RB","SEA",139.2,12.5,8.12,14.12,137,51
12.07,"justin tucker","PK","BAL",139.4,17.5,1.1,14.03,328,1
12.08,"eric ebron","TE","DET",140.1,20.5,8.07,15.12,303,13
12.09,"sterling shepard","WR","NYG",140.9,9.9,10.02,15.01,79,55
12.1,"james white","RB","NE",141.8,16.2,8.09,15.05,230,52
12.11,"jonathan williams","RB","NO",143.1,15.8,9.08,15.06,122,53
12.11,"kenny golladay","WR","DET",143.5,10.3,10.05,14.12,82,56
12.11,"stephen gostkowski","PK","NE",143.5,16.7,4.04,14.03,296,2
13.02,"deandre washington","RB","LV",146.3,16.5,8.01,15.07,165,54
13.02,"carolina defense","DEF","CAR",146.4,12.3,11.01,15.07,113,9
13.03,"o.j. howard","TE","TB",147.2,20.7,8.06,15.1,163,14
13.04,"jason witten","TE","DAL",148.1,25.3,5.06,15.12,111,15
13.04,"donta foreman","RB","HOU",148.2,17.1,8.04,15.09,179,55
13.04,"robby anderson","WR","NYJ",148.3,12.4,7.12,15.05,95,57
13.06,"taylor gabriel","WR","ATL",150.1,12.5,9.02,15.05,85,58
13.06,"pittsburgh defense","DEF","PIT",150.4,14.2,9.08,15.12,152,10
13.07,"austin hooper","TE","ATL",150.7,20,7.05,15.12,185,16
13.07,"tyrod taylor","QB","BUF",150.9,10.2,10.12,15.07,73,20
13.08,"wendell smallwood","RB","PHI",151.7,16.2,9.03,15.12,239,56
13.08,"matt bryant","PK","ATL",152.2,12.1,7.03,14.05,92,3
13.08,"chris carson","RB","SEA",152.5,15.9,10.07,15.11,112,57
13.09,"charles clay","TE","BUF",152.9,13.6,12.02,15.06,15,17
13.1,"danny amendola","WR","NE",153.8,14.1,9.09,15.08,115,59
13.11,"cole beasley","WR","DAL",154.7,14.6,9.12,15.1,93,60
13.11,"giovani bernard","RB","CIN",155,23.6,6.1,15.12,28,58
13.11,"cameron brate","TE","TB",155.1,21.7,9.12,15.12,28,18
13.12,"alvin kamara","RB","NO",155.8,18,5.08,15.12,97,59
13.12,"kenny stills","WR","MIA",155.9,20.4,9.01,15.1,15,61
13.12,"spencer ware","RB","KC",156.1,17.5,11.11,15.1,15,60
13.12,"julius thomas","TE","MIA",156.5,19.6,8.05,15.12,93,19
14.01,"jay cutler","QB","MIA",156.7,12.3,10.06,15.12,104,21
14.01,"dan bailey","PK","DAL",157.3,7.7,10.09,14.09,77,4
14.03,"charcandrick west","RB","KC",158.6,15.9,10.03,15.12,92,61
14.03,"wil lutz","PK","NO",158.7,16.1,6.08,14.11,40,5
14.03,"josh doctson","WR","WAS",158.9,13.2,10.12,15.12,43,62
14.04,"joe williams","RB","SF",160,13.8,12.06,15.12,16,62
14.05,"mason crosby","PK","GB",160.7,6.8,12.03,15.1,70,6
14.05,"alex smith","QB","KC",160.7,13.1,12.11,15.11,15,22
14.05,"darren sproles","RB","PHI",160.9,16.8,9.05,15.12,110,63
14.05,"deshaun watson","QB","HOU",161.1,17.9,10.01,15.12,25,23
14.05,"coby fleener","TE","NO",161.2,16,10.1,15.12,75,20
14.05,"james conner","RB","PIT",161.3,14.3,10.11,15.12,61,64
14.06,"dion lewis","RB","NE",161.6,12.7,11.09,15.12,38,65
14.06,"antonio gates","TE","LAC",162.1,20.2,7.09,15.11,25,21
14.06,"sam bradford","QB","MIN",162.4,12.8,12.03,15.12,47,24
14.07,"tyler lockett","WR","SEA",162.7,15,9.03,15.12,114,63
14.07,"torrey smith","WR","PHI",162.8,16.1,11.08,15.11,22,64
14.07,"evan engram","TE","NYG",162.8,14.3,11.04,15.12,43,22
14.07,"mohamed sanu","WR","ATL",162.9,16.4,9.12,15.12,35,65
14.07,"philadelphia defense","DEF","PHI",163,11.2,11.03,15.12,174,11
14.07,"atlanta defense","DEF","ATL",163.1,9.9,12.01,15.12,69,12
14.07,"travis benjamin","WR","LAC",163.2,10.4,12.12,15.12,16,66
14.07,"baltimore defense","DEF","BAL",163.2,10.8,12.05,15.12,163,13
14.08,"kendall wright","WR","CHI",163.9,11.6,12.04,15.12,40,67
14.08,"john ross","WR","CIN",163.9,12.1,12.03,15.12,48,68
14.1,"la rams defense","DEF","LAR",165.8,9.3,11.12,15.12,106,14
14.12,"sebastian janikowski","PK","LV",168.4,6.4,13.12,15.12,61,7
15.01,"jacksonville defense","DEF","JAX",168.8,8.5,13.07,15.12,36,15
15.01,"cairo santos","PK","CHI",168.8,18.3,3.06,15.12,65,8
15.01,"buffalo defense","DEF","BUF",169.1,9.4,13.05,15.12,22,16
15.01,"adam vinatieri","PK","IND",169.4,7.2,12.05,15.12,62,9
15.01,"brandon mcmanus","PK","DEN",169.5,6.1,14.03,15.12,47,10
15.02,"blair walsh","PK","SEA",169.7,6.6,12.08,15.12,52,11
15.03,"matt prater","PK","DET",170.9,5.3,14.03,15.12,80,12
15.03,"la chargers defense","DEF","LAC",171.2,6.6,14.03,15.1,17,17
15.04,"chris boswell","PK","PIT",172.4,4.9,14.07,15.12,62,13
15.05,"graham gano","PK","CAR",172.7,5.6,14.03,15.12,32,14
15.06,"dustin hopkins","PK","WAS",173.9,4.4,14.1,15.12,34,15
