"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.01,"antonio brown","WR","PIT",1.3,0.6,1.01,1.04,196,1
1.02,"todd gurley","RB","LAR",2.4,1.2,1.01,1.07,103,1
1.03,"julio jones","WR","ATL",3.3,1.1,1.02,1.07,143,2
1.04,"odell beckham","WR","NYG",4,1.4,1.01,1.09,286,3
1.05,"david johnson","RB","ARI",5.4,2.4,1.01,2.03,205,2
1.06,"ezekiel elliott","RB","DAL",6.3,2.1,1.02,1.11,168,3
1.07,"adrian peterson","RB","MIN",6.6,2.1,1.01,1.12,224,4
1.08,"lamar miller","RB","HOU",8.2,1.7,1.04,1.12,222,5
1.09,"a.j. green","WR","CIN",8.9,2,1.04,2.01,252,4
1.09,"deandre hopkins","WR","HOU",9.1,2.1,1.05,2.04,260,5
1.1,"leveon bell","RB","PIT",10.1,2.6,1.03,2.07,217,6
1.12,"allen robinson","WR","JAX",11.9,2,1.04,2.06,260,6
2.02,"rob gronkowski","TE","NE",13.9,3.3,1.02,2.1,183,1
2.02,"dez bryant","WR","DAL",14,2.1,1.1,2.09,144,7
2.03,"mike evans","WR","TB",15.2,2.3,1.04,2.11,209,8
2.03,"eddie lacy","RB","GB",15.3,2.6,1.07,2.12,253,7
2.05,"jamaal charles","RB","KC",16.5,3.6,1.08,2.12,143,8
2.06,"devonta freeman","RB","ATL",17.6,3.1,1.11,3.04,208,9
2.06,"brandon marshall","WR","NYJ",17.7,2.7,1.1,3.01,234,9
2.07,"jordy nelson","WR","GB",19.3,3.1,1.12,3.05,256,10
2.08,"lesean mccoy","RB","BUF",19.7,3.1,1.12,3.06,219,10
2.09,"keenan allen","WR","LAC",21.1,3.3,2.01,3.07,208,11
2.1,"amari cooper","WR","LV",22.5,3.5,2.02,3.07,198,12
2.11,"mark ingram","RB","NO",22.9,3.6,2.01,3.08,224,11
2.12,"doug martin","RB","TB",24.1,3.7,2.02,3.1,193,12
3.02,"alshon jeffery","WR","CHI",26.3,3.7,2.01,4.02,179,13
3.03,"brandin cooks","WR","NO",27.3,3.6,2.05,4.01,176,14
3.04,"cam newton","QB","CAR",27.7,7,1.07,4.07,152,1
3.05,"c.j. anderson","RB","DEN",28.6,4,2.03,4.03,176,13
3.05,"sammy watkins","WR","BUF",29,3.6,2.05,4.04,176,15
3.07,"latavius murray","RB","LV",30.7,4,2.11,4.04,196,14
3.08,"t.y. hilton","WR","IND",31.5,3.4,2.1,4.07,224,16
3.08,"aaron rodgers","QB","GB",32.3,7.2,1.05,4.1,159,2
3.08,"demaryius thomas","WR","DEN",32.4,3.7,2.11,4.08,216,17
3.09,"thomas rawls","RB","SEA",32.6,4.6,2.05,4.11,236,15
3.1,"randall cobb","WR","GB",33.7,4.3,2.04,4.09,211,18
4.01,"demarco murray","RB","TEN",36.5,5.1,2.09,4.12,194,16
4.01,"jeremy hill","RB","CIN",36.5,4.4,2.08,4.11,210,17
4.02,"kelvin benjamin","WR","CAR",38.1,5.1,2.12,5.03,222,19
4.04,"jarvis landry","WR","MIA",39.9,4,3.01,5.03,185,20
4.04,"carlos hyde","RB","SF",40,5.1,3.01,5.04,191,18
4.04,"jordan reed","TE","WAS",40,5.2,3.01,5.07,158,2
4.06,"donte moncrief","WR","IND",41.7,4.7,3.04,5.1,170,21
4.06,"matt forte","RB","NYJ",42.4,4.5,3.05,5.08,207,19
4.08,"jeremy langford","RB","CHI",43.8,5.1,3.04,5.12,205,20
4.09,"jeremy maclin","WR","KC",44.9,5.5,3.02,5.09,188,22
4.09,"melvin gordon","RB","LAC",45.2,5.2,3.04,5.09,204,21
4.11,"jonathan stewart","RB","CAR",46.9,5.4,3.06,5.11,159,22
4.11,"russell wilson","QB","SEA",47.4,5.9,3.03,6.03,129,3
4.12,"eric decker","WR","NYJ",47.9,5.8,2.09,6.01,197,23
5.02,"julian edelman","WR","NE",50.3,6.3,2.09,6.02,143,24
5.03,"greg olsen","TE","CAR",51.3,6.2,3.05,6.05,158,3
5.03,"josh gordon","WR","CLE",51.5,5.7,4.02,6.07,197,25
5.04,"doug baldwin","WR","SEA",51.9,6.4,3.08,6.06,189,26
5.05,"arian foster","RB","MIA",52.9,5.3,3.11,6.05,156,23
5.07,"andrew luck","QB","IND",54.8,6,3.09,6.08,147,4
5.07,"michael floyd","WR","ARI",55.2,5.8,4.03,7.09,216,27
5.07,"ryan mathews","RB","PHI",55.3,5.5,4.01,6.1,232,24
5.09,"drew brees","QB","NO",57.2,5.9,4.04,6.11,123,5
5.12,"golden tate","WR","DET",60,5.8,3.1,7.04,193,28
6.01,"matt jones","RB","WAS",60.9,6,4.06,7.03,161,25
6.01,"marvin jones","WR","DET",61.3,5.9,5.01,7.08,197,29
6.01,"travis kelce","TE","KC",61.4,5,4.1,7.01,102,4
6.02,"deangelo williams","RB","PIT",61.8,5.5,5.02,7.08,154,26
6.03,"frank gore","RB","IND",62.6,7.1,2.11,7.09,147,27
6.04,"ben roethlisberger","QB","PIT",64.4,6.8,5.01,7.09,106,6
6.05,"rashad jennings","RB","NYG",65.4,5.7,4.09,7.1,189,28
6.06,"allen hurns","WR","JAX",65.8,8.8,3.08,8.07,181,30
6.06,"tom brady","QB","NE",66,6.8,4.09,7.09,118,7
6.08,"giovani bernard","RB","CIN",67.7,6.7,4.11,7.12,193,29
6.09,"delanie walker","TE","TEN",68.9,7.1,5.01,8.03,105,5
6.1,"chris ivory","RB","JAX",69.6,7.7,4.11,8.06,159,30
6.1,"derrick henry","RB","TEN",70.5,7.2,4.09,8.05,219,31
6.12,"larry fitzgerald","WR","ARI",71.6,9.8,3.01,9.01,176,31
7.01,"coby fleener","TE","NO",72.7,7.1,4.11,8.06,105,6
7.02,"tyler lockett","WR","SEA",73.9,8.4,4.09,8.12,171,32
7.04,"emmanuel sanders","WR","DEN",76.1,9.6,2.12,9.02,194,33
7.05,"ameer abdullah","RB","DET",77.3,6.6,5.02,9.05,210,32
7.05,"carson palmer","QB","ARI",77.4,8.1,4.07,8.12,110,8
7.06,"john brown","WR","ARI",78.3,8,5.04,9.01,180,34
7.09,"duke johnson","RB","CLE",80.5,8.6,5.04,9.07,137,33
7.09,"jordan matthews","WR","PHI",80.6,8.4,5.11,9.04,224,35
7.09,"gary barnidge","TE","CLE",81.3,6.7,6.08,9.08,83,7
7.1,"blake bortles","QB","JAX",81.6,10.1,5.07,9.12,90,9
7.1,"legarrette blount","RB","NE",82,8.3,5.04,9.04,180,34
7.11,"desean jackson","WR","WAS",83.2,9,4.01,9.04,233,36
8.02,"danny woodhead","RB","LAC",86,8.1,5.01,9.05,144,35
8.02,"justin forsett","RB","BAL",86.5,7.7,5.05,9.09,151,36
8.03,"sterling shepard","WR","NYG",87,8.2,6.09,9.09,162,37
8.05,"isaiah crowell","RB","CLE",88.7,7.9,6.05,10.02,115,37
8.06,"eli manning","QB","NYG",90.3,10.2,5.07,10.03,113,10
8.06,"tj yeldon","RB","JAX",90.4,6.5,7.02,9.07,155,38
8.07,"michael crabtree","WR","LV",90.6,7.1,6.09,10.02,188,38
8.07,"julius thomas","TE","JAX",91.1,11.5,7.01,12.02,73,8
8.07,"tyler eifert","TE","CIN",91.3,13.4,6.08,12.01,56,9
