"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.02,"lesean mccoy","RB","PHI",1.6,0.9,1.01,1.05,279,1
1.03,"adrian peterson","RB","MIN",3.1,1.4,1.01,1.08,328,2
1.04,"jamaal charles","RB","KC",3.5,1.3,1.01,1.07,382,3
1.04,"matt forte","RB","CHI",4.2,1.5,1.02,1.08,139,4
1.05,"calvin johnson","WR","DET",5.5,1.6,1.01,1.11,263,1
1.06,"peyton manning","QB","DEN",6.3,3.2,1.01,2.05,225,1
1.08,"demaryius thomas","WR","DEN",8.2,1.9,1.02,2.02,263,2
1.08,"jimmy graham","TE","NO",8.2,2.1,1.01,2.05,303,1
1.09,"eddie lacy","RB","GB",9.4,4,1.01,2.08,513,5
1.1,"montee ball","RB","DEN",9.7,2.3,1.04,2.04,302,6
1.1,"marshawn lynch","RB","SEA",9.8,2.7,1.01,2.08,318,7
1.12,"dez bryant","WR","DAL",11.7,2.4,1.04,2.09,344,3
2.01,"demarco murray","RB","DAL",13.2,2.8,1.06,2.11,264,8
2.02,"a.j. green","WR","CIN",13.7,2.3,1.04,2.09,318,4
2.02,"drew brees","QB","NO",13.9,5,1.01,3.02,317,2
2.03,"julio jones","WR","ATL",15.1,2.2,1.05,2.1,291,5
2.05,"brandon marshall","WR","CHI",17.1,2.4,1.1,2.11,342,6
2.06,"giovani bernard","RB","CIN",17.6,3.1,1.09,3.01,296,9
2.06,"aaron rodgers","QB","GB",18.5,4.1,1.01,3.11,345,3
2.07,"doug martin","RB","TB",18.9,3,1.07,3.04,308,10
2.08,"jordy nelson","WR","GB",20.3,2.6,2.01,3.03,323,7
2.1,"arian foster","RB","HOU",22.1,4.8,1.06,3.09,244,11
2.1,"antonio brown","WR","PIT",22.3,3,2.01,3.08,259,8
2.12,"alfred morris","RB","WAS",24.2,4.1,2.02,3.1,268,12
3.01,"andre ellington","RB","ARI",24.9,3.9,2.01,4.09,285,13
3.01,"alshon jeffery","WR","CHI",25.3,3,2.05,3.12,316,9
3.03,"julius thomas","TE","DEN",26.6,4.5,1.09,4.02,257,2
3.04,"randall cobb","WR","GB",28.1,3.5,1.12,4.06,290,10
