Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA?,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
90,Asdrubal Cabrera#\cabreas01,33,TOT,MLB,131,514,447,69,116,25,1,18,91,4,0,57,103,.260,.342,.441,.783,97,197,9,3,0,7,2,54/H3
91,Lorenzo Cain\cainlo01,33,MIL,NL,148,623,562,75,146,30,0,11,48,18,8,50,106,.260,.325,.372,.697,81,209,14,6,0,4,0,*8/H
92,Adam Jones\jonesad01,33,ARI,NL,137,528,485,66,126,25,1,16,67,2,1,31,101,.260,.313,.414,.728,87,201,15,8,0,3,2,*9H/8
93,Freddy Galvis#\galvifr01,29,TOT,MLB,147,589,557,67,145,28,1,23,70,4,2,28,145,.260,.296,.438,.734,92,244,14,1,1,2,1,*64/HD
94,Josh Donaldson\donaljo02,33,ATL,NL,155,659,549,96,142,33,0,37,94,4,2,100,155,.259,.379,.521,.900,127,286,13,8,0,2,2,*5/HD
95,Christian Walker\walkech02,28,ARI,NL,152,603,529,86,137,26,1,29,73,8,1,67,155,.259,.348,.476,.825,111,252,11,6,0,1,6,*3H/D
96,Kevin Pillar\pillake01,30,TOT,MLB,161,645,611,83,158,37,3,21,88,14,5,18,89,.259,.287,.432,.719,89,264,15,9,0,7,4,*89/HD
97,Michael Conforto*\confomi01,26,NYM,NL,151,648,549,90,141,29,1,33,92,7,2,84,149,.257,.363,.494,.856,128,271,11,10,0,5,5,*98/H
98,Manny Machado\machama01,26,SDP,NL,156,661,587,81,150,21,2,32,85,5,3,65,128,.256,.334,.462,.796,109,271,24,6,0,3,3,*56/H
99,Jose Ramirez#\ramirjo01,26,CLE,AL,129,542,482,68,123,33,3,23,83,24,4,52,74,.255,.327,.479,.806,106,231,8,2,0,6,3,*5/DH
100,Victor Robles\roblevi01,22,WSN,NL,155,617,546,86,139,33,3,17,65,28,9,35,140,.255,.326,.419,.745,88,229,6,25,6,5,3,*89/H
101,Mike Moustakas*\moustmi01,30,MIL,NL,143,584,523,80,133,30,1,35,87,3,0,53,98,.254,.329,.516,.845,114,270,12,6,0,2,5,54/HD
102,Evan Longoria\longoev01,33,SFG,NL,129,508,453,59,115,19,2,20,69,3,1,43,112,.254,.325,.437,.762,102,198,14,7,0,5,1,*5H
103,Willy Adames\adamewi01,23,TBR,AL,152,584,531,69,135,25,1,20,52,4,2,46,153,.254,.317,.418,.735,95,222,9,3,3,1,1,*6/H
104,Nick Ahmed\ahmedni01,29,ARI,NL,158,625,556,79,141,33,6,19,82,8,2,52,113,.254,.316,.437,.753,93,243,15,4,1,12,2,*6/H
105,Domingo Santana\santado01,26,SEA,AL,121,507,451,63,114,20,1,21,69,8,3,50,164,.253,.329,.441,.770,108,199,11,2,0,2,1,79D/H
106,Max Kepler*\keplema01,26,MIN,AL,134,596,524,98,132,32,0,36,90,1,5,60,99,.252,.336,.519,.855,122,272,5,8,0,4,0,*98/HD
107,Yolmer Sanchez#\sanchca01,27,CHW,AL,149,555,496,59,125,20,4,2,43,5,4,44,117,.252,.318,.321,.638,73,159,7,5,7,3,1,*4/H
108,Max Muncy*\muncyma01,28,LAD,NL,141,589,487,101,122,22,1,35,98,4,1,90,149,.251,.374,.515,.889,133,251,5,8,0,4,1,435/H
109,Jason Heyward*\heywaja01,29,CHC,NL,147,589,513,78,129,20,4,21,62,8,3,68,110,.251,.343,.429,.772,98,220,12,5,0,3,5,*98/H
110,Brett Gardner*\gardnbr01,35,NYY,AL,141,550,491,86,123,26,7,28,74,10,2,52,108,.251,.325,.503,.829,117,247,6,4,0,3,0,*87/HD
